facility,classification,category,explanation,n_total_deaths,cause_1,n_1,pct_1,cause_2,n_2,pct_2,cause_3,n_3,pct_3,cause_4,n_4,pct_4,cause_5,n_5,pct_5
KCH,Birthweight,ELBW,Included in analysis,283,Prematurity/RDS,216,76.3,Other,38,13.4,Birth Asphyxia/HIE,17,6,Sepsis/Infection,12,4.2,NA,NA,NA
KCH,Birthweight,VLBW,Included in analysis,603,Prematurity/RDS,377,62.5,Sepsis/Infection,96,15.9,Other,92,15.3,Birth Asphyxia/HIE,30,5,Congenital Anomalies,8,1.3
KCH,Birthweight,LBW,Included in analysis,530,Other,172,32.5,Prematurity/RDS,142,26.8,Sepsis/Infection,139,26.2,Birth Asphyxia/HIE,55,10.4,Congenital Anomalies,22,4.2
KCH,Birthweight,NBW,Included in analysis,537,Birth Asphyxia/HIE,171,31.8,Other,161,30,Sepsis/Infection,145,27,Prematurity/RDS,32,6,Congenital Anomalies,28,5.2
KCH,Birthweight,HBW,Included in analysis,11,Other,4,36.4,Sepsis/Infection,4,36.4,Congenital Anomalies,2,18.2,Prematurity/RDS,1,9.1,NA,NA,NA
KCH,Birthweight,Total,All deaths considered,1964,Prematurity/RDS,768,39.1,Other,467,23.8,Sepsis/Infection,396,20.2,Birth Asphyxia/HIE,273,13.9,Congenital Anomalies,60,3.1
SMCH,Birthweight,ELBW,Included in analysis,395,Prematurity/RDS,371,93.9,Birth Asphyxia/HIE,8,2,Other,7,1.8,Sepsis/Infection,6,1.5,Congenital Anomalies,3,0.8
SMCH,Birthweight,VLBW,Included in analysis,807,Prematurity/RDS,624,77.3,Other,69,8.6,Sepsis/Infection,56,6.9,Congenital Anomalies,45,5.6,Birth Asphyxia/HIE,13,1.6
SMCH,Birthweight,LBW,Included in analysis,998,Prematurity/RDS,375,37.6,Congenital Anomalies,345,34.6,Other,97,9.7,Sepsis/Infection,92,9.2,Birth Asphyxia/HIE,89,8.9
SMCH,Birthweight,NBW,Included in analysis,1082,Birth Asphyxia/HIE,564,52.1,Congenital Anomalies,180,16.6,Prematurity/RDS,158,14.6,Other,106,9.8,Sepsis/Infection,74,6.8
SMCH,Birthweight,HBW,Included in analysis,20,Birth Asphyxia/HIE,9,45,Congenital Anomalies,3,15,Other,3,15,Prematurity/RDS,3,15,Sepsis/Infection,2,10
SMCH,Birthweight,Total,All deaths considered,3302,Prematurity/RDS,1531,46.4,Birth Asphyxia/HIE,683,20.7,Congenital Anomalies,576,17.4,Other,282,8.5,Sepsis/Infection,230,7
KCH,SGA,Term-AGA,Included in analysis,415,Birth Asphyxia/HIE,137,33,Other,120,28.9,Sepsis/Infection,116,28,Prematurity/RDS,22,5.3,Congenital Anomalies,20,4.8
KCH,SGA,Term-SGA,Included in analysis,228,Other,84,36.8,Sepsis/Infection,67,29.4,Birth Asphyxia/HIE,36,15.8,Prematurity/RDS,22,9.6,Congenital Anomalies,19,8.3
KCH,SGA,Preterm-AGA,Included in analysis,809,Prematurity/RDS,404,49.9,Other,166,20.5,Sepsis/Infection,149,18.4,Birth Asphyxia/HIE,74,9.1,Congenital Anomalies,16,2
KCH,SGA,Preterm-SGA,Included in analysis,512,Prematurity/RDS,320,62.5,Other,97,18.9,Sepsis/Infection,64,12.5,Birth Asphyxia/HIE,26,5.1,Congenital Anomalies,5,1
KCH,SGA,Total,All deaths considered,1964,Prematurity/RDS,768,39.1,Other,467,23.8,Sepsis/Infection,396,20.2,Birth Asphyxia/HIE,273,13.9,Congenital Anomalies,60,3.1
SMCH,SGA,Term-AGA,Included in analysis,689,Birth Asphyxia/HIE,396,57.5,Prematurity/RDS,100,14.5,Congenital Anomalies,83,12,Other,69,10,Sepsis/Infection,41,6
SMCH,SGA,Term-SGA,Included in analysis,636,Congenital Anomalies,211,33.2,Birth Asphyxia/HIE,210,33,Prematurity/RDS,108,17,Other,60,9.4,Sepsis/Infection,47,7.4
SMCH,SGA,Preterm-AGA,Included in analysis,1249,Prematurity/RDS,826,66.1,Congenital Anomalies,183,14.7,Other,90,7.2,Sepsis/Infection,89,7.1,Birth Asphyxia/HIE,61,4.9
SMCH,SGA,Preterm-SGA,Included in analysis,728,Prematurity/RDS,497,68.3,Congenital Anomalies,99,13.6,Other,63,8.7,Sepsis/Infection,53,7.3,Birth Asphyxia/HIE,16,2.2
SMCH,SGA,Total,All deaths considered,3302,Prematurity/RDS,1531,46.4,Birth Asphyxia/HIE,683,20.7,Congenital Anomalies,576,17.4,Other,282,8.5,Sepsis/Infection,230,7
