facility,temp_interval,ELBW_NND,ELBW_DC,VLBW_NND,VLBW_DC,LBW_NND,LBW_DC,NBW_NND,NBW_DC,HBW_NND,HBW_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,< 32.0,6,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,3,Birthweight
KCH,32.0 - 35.9,102,16,175,272,65,482,25,184,1,0,0,0,0,0,0,0,0,0,368,954,Birthweight
KCH,36.0 - 36.4,21,13,58,116,28,330,11,215,0,24,0,0,0,0,0,0,0,0,118,698,Birthweight
KCH,36.5 - 37.5,30,13,61,156,46,576,30,528,2,47,0,0,0,0,0,0,0,0,169,1320,Birthweight
KCH,> 37.5,0,1,7,20,12,86,5,136,1,10,0,0,0,0,0,0,0,0,25,253,Birthweight
SMCH,< 32.0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,1,Birthweight
SMCH,32.0 - 35.9,73,3,103,75,99,202,73,266,1,16,0,0,0,0,0,0,0,0,349,562,Birthweight
SMCH,36.0 - 36.4,93,10,173,117,146,465,148,757,2,38,0,0,0,0,0,0,0,0,562,1387,Birthweight
SMCH,36.5 - 37.5,223,46,526,434,738,3759,827,9017,17,714,0,0,0,0,0,0,0,0,2331,13970,Birthweight
SMCH,> 37.5,2,2,5,6,15,52,33,623,0,18,0,0,0,0,0,0,0,0,55,701,Birthweight
