facility,mod_interval,Term-AGA_NND,Term-AGA_DC,Term-SGA_NND,Term-SGA_DC,Preterm-AGA_NND,Preterm-AGA_DC,Preterm-SGA_NND,Preterm-SGA_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,SVD,286,2024,162,735,556,1670,324,656,0,0,0,0,0,0,0,0,1328,5085,SGA
KCH,Vacuum Extraction,11,151,3,28,2,17,1,5,0,0,0,0,0,0,0,0,17,201,SGA
KCH,Forceps Extraction,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,SGA
KCH,ELCS,18,264,7,66,22,115,14,62,0,0,0,0,0,0,0,0,61,507,SGA
KCH,EMCS,90,851,51,279,186,956,136,341,0,0,0,0,0,0,0,0,463,2427,SGA
KCH,Breech Extraction,7,29,4,44,40,86,36,46,0,0,0,0,0,0,0,0,87,205,SGA
KCH,Induced Vaginal,2,8,0,6,3,5,1,3,0,0,0,0,0,0,0,0,6,22,SGA
KCH,Missing,1,2,1,1,0,4,0,2,0,0,0,0,0,0,0,0,2,9,SGA
SMCH,SVD,504,5340,485,2747,1000,2058,486,772,0,0,0,0,0,0,0,0,2475,10917,SGA
SMCH,Vacuum Extraction,6,19,1,5,0,4,0,1,0,0,0,0,0,0,0,0,7,29,SGA
SMCH,Forceps Extraction,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,SGA
SMCH,ELCS,20,642,24,293,23,153,19,76,0,0,0,0,0,0,0,0,86,1164,SGA
SMCH,EMCS,135,1777,112,1004,190,787,202,444,0,0,0,0,0,0,0,0,639,4012,SGA
SMCH,Breech Extraction,7,56,6,40,17,25,8,15,0,0,0,0,0,0,0,0,38,136,SGA
SMCH,Induced Vaginal,13,157,4,79,15,30,8,17,0,0,0,0,0,0,0,0,40,283,SGA
SMCH,Missing,4,35,4,22,4,17,5,5,0,0,0,0,0,0,0,0,17,79,SGA
