gender,category,n,percentage,classification
F,ELBW,453,3.235483179772873,Birthweight
F,VLBW,1729,12.349117920148561,Birthweight
F,LBW,4536,32.39768587958003,Birthweight
F,NBW,6955,49.675023212627664,Birthweight
F,HBW,328,2.3426898078708662,Birthweight
M,ELBW,373,2.29017007429238,Birthweight
M,VLBW,1437,8.822987658869037,Birthweight
M,LBW,4439,27.254865843924602,Birthweight
M,NBW,9379,57.58580462945908,Birthweight
M,HBW,659,4.046171793454903,Birthweight
NS,ELBW,1,1.7241379310344827,Birthweight
NS,VLBW,3,5.172413793103448,Birthweight
NS,LBW,25,43.103448275862064,Birthweight
NS,NBW,29,50,Birthweight
F,Term-AGA,5385,38.46153846153847,SGA
F,Term-SGA,2767,19.762874080422826,SGA
F,Preterm-AGA,4077,29.119348617955858,SGA
F,Preterm-SGA,1772,12.656238840082851,SGA
M,Term-AGA,7056,43.32289556087677,SGA
M,Term-SGA,3435,21.090440228403022,SGA
M,Preterm-AGA,3890,23.88407932707067,SGA
M,Preterm-SGA,1906,11.702584883649536,SGA
NS,Term-AGA,21,36.206896551724135,SGA
NS,Term-SGA,11,18.96551724137931,SGA
NS,Preterm-AGA,18,31.03448275862069,SGA
NS,Preterm-SGA,8,13.793103448275861,SGA
