facility,classification,category,exposure_variable,comparison,group1,group2,n_group1,NND_group1,CFR_group1_pct,n_group2,NND_group2,CFR_group2_pct,chisq_statistic,chisq_df,chisq_p_value,fisher_p_raw,n_pairs_tested,fisher_p_bonferroni,low_expected_count_warning
KCH,Birthweight,ELBW,Antenatal Steroids,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),166,126,75.9,72,55,76.4,0.0771,2,0.962178,1,3,1,FALSE
KCH,Birthweight,ELBW,Antenatal Steroids,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),166,126,75.9,132,102,77.3,0.0771,2,0.962178,0.890682,3,1,FALSE
KCH,Birthweight,ELBW,Antenatal Steroids,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),72,55,76.4,132,102,77.3,0.0771,2,0.962178,1,3,1,FALSE
KCH,Birthweight,HBW,Antenatal Steroids,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),129,6,4.7,5,1,20,2.6452,2,0.266444,0.238507,3,0.71552,TRUE
KCH,Birthweight,HBW,Antenatal Steroids,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),129,6,4.7,47,4,8.5,2.6452,2,0.266444,0.460412,3,1,TRUE
KCH,Birthweight,HBW,Antenatal Steroids,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),5,1,20,47,4,8.5,2.6452,2,0.266444,0.409787,3,1,TRUE
KCH,Birthweight,LBW,Antenatal Steroids,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),1615,267,16.5,611,65,10.6,12.1402,2,0.002311,4.01e-4,3,0.001202,FALSE
KCH,Birthweight,LBW,Antenatal Steroids,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),1615,267,16.5,1293,198,15.3,12.1402,2,0.002311,0.386994,3,1,FALSE
KCH,Birthweight,LBW,Antenatal Steroids,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),611,65,10.6,1293,198,15.3,12.1402,2,0.002311,0.005509,3,0.016527,FALSE
KCH,Birthweight,NBW,Antenatal Steroids,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),3182,364,11.4,99,9,9.1,1.1246,2,0.569892,0.628394,3,1,FALSE
KCH,Birthweight,NBW,Antenatal Steroids,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),3182,364,11.4,1330,162,12.2,1.1246,2,0.569892,0.476716,3,1,FALSE
KCH,Birthweight,NBW,Antenatal Steroids,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),99,9,9.1,1330,162,12.2,1.1246,2,0.569892,0.424701,3,1,FALSE
KCH,Birthweight,VLBW,Antenatal Steroids,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),695,250,36,413,143,34.6,0.7182,2,0.698295,0.696869,3,1,FALSE
KCH,Birthweight,VLBW,Antenatal Steroids,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),695,250,36,622,210,33.8,0.7182,2,0.698295,0.417906,3,1,FALSE
KCH,Birthweight,VLBW,Antenatal Steroids,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),413,143,34.6,622,210,33.8,0.7182,2,0.698295,0.789085,3,1,FALSE
