description,n,pct_of_total,Filter_notes
Total admissions,8341,100,NA
Analysis population (valid outcome),8341,100,"normalise_outcome(neotreeoutcome) %in% c(""Alive"", ""Neonatal Death"")"
Excluded: missing/invalid outcome,0,0,"NOT (normalise_outcome(neotreeoutcome) %in% c(""Alive"", ""Neonatal Death""))"
Analysis population — Steroids Used (Y),1576,18.9,"normalise_outcome(neotreeoutcome) %in% c(""Alive"", ""Neonatal Death"") AND steroids == 'Y'"
Analysis population — Steroids Not Used (N),3903,46.8,"normalise_outcome(neotreeoutcome) %in% c(""Alive"", ""Neonatal Death"") AND steroids == 'N'"
Analysis population — Unsure (U),2856,34.2,"normalise_outcome(neotreeoutcome) %in% c(""Alive"", ""Neonatal Death"") AND steroids == 'U'"
Analysis population — Missing steroids record,6,0.1,"normalise_outcome(neotreeoutcome) %in% c(""Alive"", ""Neonatal Death"") AND steroids is NA/blank/other"
Analysis population (KCH) — Steroids Used (Y),1005,12,"normalise_outcome(neotreeoutcome) %in% c(""Alive"", ""Neonatal Death"") AND facility == 'KCH' AND steroids == 'Y'"
Analysis population (KCH) — Steroids Not Used (N),1629,19.5,"normalise_outcome(neotreeoutcome) %in% c(""Alive"", ""Neonatal Death"") AND facility == 'KCH' AND steroids == 'N'"
Analysis population (KCH) — Unsure (U),1479,17.7,"normalise_outcome(neotreeoutcome) %in% c(""Alive"", ""Neonatal Death"") AND facility == 'KCH' AND steroids == 'U'"
Analysis population (KCH) — Missing steroids record,4,0,"normalise_outcome(neotreeoutcome) %in% c(""Alive"", ""Neonatal Death"") AND facility == 'KCH' AND steroids is Missing"
Analysis population (SMCH) — Steroids Used (Y),571,6.8,"normalise_outcome(neotreeoutcome) %in% c(""Alive"", ""Neonatal Death"") AND facility == 'SMCH' AND steroids == 'Y'"
Analysis population (SMCH) — Steroids Not Used (N),2274,27.3,"normalise_outcome(neotreeoutcome) %in% c(""Alive"", ""Neonatal Death"") AND facility == 'SMCH' AND steroids == 'N'"
Analysis population (SMCH) — Unsure (U),1377,16.5,"normalise_outcome(neotreeoutcome) %in% c(""Alive"", ""Neonatal Death"") AND facility == 'SMCH' AND steroids == 'U'"
Analysis population (SMCH) — Missing steroids record,2,0,"normalise_outcome(neotreeoutcome) %in% c(""Alive"", ""Neonatal Death"") AND facility == 'SMCH' AND steroids is Missing"
Analysis population with valid birthweight (LBW sample),8341,100,"normalise_outcome(neotreeoutcome) %in% c(""Alive"", ""Neonatal Death"") AND is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg"
Discarded for LBW (missing/invalid birthweight),0,0,"normalise_outcome(neotreeoutcome) %in% c(""Alive"", ""Neonatal Death"") AND NOT (is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg)"
Analysis population with valid SGA classification,8341,100,"normalise_outcome(neotreeoutcome) %in% c(""Alive"", ""Neonatal Death"") AND is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg AND !is.na(gestation) & gestation >= 24 wks & gestation <= 42 wks AND !is.na(sga_category)"
Discarded for SGA (Missing BW),0,0,Invalid/missing birth weight
Discarded for SGA (Missing GA),0,0,Invalid/missing gestational age
Discarded for SGA (Missing both BW and GA),0,0,Both BW and GA invalid/missing
