facility,category,comparison,group1,group2,CFR_group1_pct,n_group1,NND_group1,CFR_group2_pct,n_group2,NND_group2,fisher_p_raw,n_pairs_tested,fisher_p_bonferroni,chisq_statistic,chisq_df,chisq_p_value,low_expected_count_warning,exposure_variable,classification
KCH,ELBW,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),76.5,162,124,77.5,71,55,1,3,1,0.024,2,0.988055,FALSE,Antenatal Steroids,Birthweight
KCH,ELBW,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),76.5,162,124,76.9,130,100,1,3,1,0.024,2,0.988055,FALSE,Antenatal Steroids,Birthweight
KCH,ELBW,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),77.5,71,55,76.9,130,100,1,3,1,0.024,2,0.988055,FALSE,Antenatal Steroids,Birthweight
KCH,LBW,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),14.8,803,119,10.4,531,55,0.0199,3,0.059699,7.396,2,0.024773,FALSE,Antenatal Steroids,Birthweight
KCH,LBW,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),14.8,803,119,15.3,758,116,0.831837,3,1,7.396,2,0.024773,FALSE,Antenatal Steroids,Birthweight
KCH,LBW,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),10.4,531,55,15.3,758,116,0.009781,3,0.029344,7.396,2,0.024773,FALSE,Antenatal Steroids,Birthweight
KCH,NBW,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),13.5,52,7,0,13,0,0.328661,3,0.985984,3.4017,2,0.182524,TRUE,Antenatal Steroids,Birthweight
KCH,NBW,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),13.5,52,7,20.5,39,8,0.403901,3,1,3.4017,2,0.182524,TRUE,Antenatal Steroids,Birthweight
KCH,NBW,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),0,13,0,20.5,39,8,0.177313,3,0.531939,3.4017,2,0.182524,TRUE,Antenatal Steroids,Birthweight
KCH,VLBW,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),36.6,612,224,34.9,390,136,0.589674,3,1,0.6655,2,0.716949,FALSE,Antenatal Steroids,Birthweight
KCH,VLBW,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),36.6,612,224,34.4,552,190,0.462034,3,1,0.6655,2,0.716949,FALSE,Antenatal Steroids,Birthweight
KCH,VLBW,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),34.9,390,136,34.4,552,190,0.889631,3,1,0.6655,2,0.716949,FALSE,Antenatal Steroids,Birthweight
KCH,Preterm-AGA,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),25.5,1157,295,20.7,768,159,0.015866,3,0.047598,6.6274,2,0.036381,FALSE,Antenatal Steroids,SGA
KCH,Preterm-AGA,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),25.5,1157,295,25.1,1073,269,0.845415,3,1,6.6274,2,0.036381,FALSE,Antenatal Steroids,SGA
KCH,Preterm-AGA,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),20.7,768,159,25.1,1073,269,0.029222,3,0.087666,6.6274,2,0.036381,FALSE,Antenatal Steroids,SGA
