description,n,percentage_of_total,Filter_notes
Total deliveries (all births),73835,100,NA
Deliveries with valid birthweight (LBW sample size),73835,100,is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg
Discarded for LBW (Missing/invalid birthweight),0,0,is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg
Deliveries with valid SGA classification,73835,100,is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg AND !is.na(gestation) & gestation >= 22 wks & gestation <= 42 wks
Discarded for SGA (Missing BW),0,0,Invalid/missing birth weight
Discarded for SGA (Missing GA),0,0,Invalid/missing gestational age
Discarded for SGA (Missing both BW and GA),0,0,Both BW and GA invalid/missing
,NA,NA,NA
KCH - Total deliveries,7299,100,NA
KCH - LBW sample size,7299,100,is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg
KCH - Discarded for LBW,0,0,NOT (is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg)
KCH - SGA sample size,7299,100,NA
KCH - Discarded for SGA (Missing BW),0,0,Invalid/missing birth weight
KCH - Discarded for SGA (Missing GA),0,0,Invalid/missing gestational age
KCH - Discarded for SGA (Missing both BW and GA),0,0,Both BW and GA invalid/missing
,NA,NA,NA
SMCH - Total deliveries,66536,100,NA
SMCH - LBW sample size,66536,100,is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg
SMCH - Discarded for LBW,0,0,NOT (is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg)
SMCH - SGA sample size,66536,100,NA
SMCH - Discarded for SGA (Missing BW),0,0,Invalid/missing birth weight
SMCH - Discarded for SGA (Missing GA),0,0,Invalid/missing gestational age
SMCH - Discarded for SGA (Missing both BW and GA),0,0,Both BW and GA invalid/missing
