year,category,explanation,n,percentage,classification
2022,ELBW,Included in analysis,164,0.9646491382859832,Birthweight
2022,VLBW,Included in analysis,490,2.8821834009764133,Birthweight
2022,LBW,Included in analysis,3080,18.11658137756603,Birthweight
2022,NBW,Included in analysis,12983,76.36609611199341,Birthweight
2022,HBW,Included in analysis,284,1.670489971178166,Birthweight
2022,Total,All deliveries considered,17001,100,Birthweight
2023,ELBW,Included in analysis,148,0.9377772145482195,Birthweight
2023,VLBW,Included in analysis,387,2.4521606893929793,Birthweight
2023,LBW,Included in analysis,2137,13.540742618172603,Birthweight
2023,NBW,Included in analysis,12794,81.06703839817514,Birthweight
2023,HBW,Included in analysis,316,2.0022810797110635,Birthweight
2023,Total,All deliveries considered,15782,100,Birthweight
2024,ELBW,Included in analysis,123,0.9482692159432581,Birthweight
2024,VLBW,Included in analysis,272,2.0969855832241153,Birthweight
2024,LBW,Included in analysis,1666,12.844036697247708,Birthweight
2024,NBW,Included in analysis,10663,82.20646056587772,Birthweight
2024,HBW,Included in analysis,247,1.904247937707193,Birthweight
2024,Total,All deliveries considered,12971,100,Birthweight
2025,ELBW,Included in analysis,171,0.7199696854869269,Birthweight
2025,VLBW,Included in analysis,462,1.9451812555260832,Birthweight
2025,LBW,Included in analysis,3207,13.502589364658329,Birthweight
2025,NBW,Included in analysis,19487,82.04707170224411,Birthweight
2025,HBW,Included in analysis,424,1.785187992084544,Birthweight
2025,Total,All deliveries considered,23751,100,Birthweight
2022,Term-AGA,Included in analysis,8984,52.84395035586142,SGA
2022,Term-SGA,Included in analysis,4685,27.55720251749897,SGA
2022,Preterm-AGA,Included in analysis,2617,15.393212163990352,SGA
2022,Preterm-SGA,Included in analysis,715,4.205634962649256,SGA
2022,Total,All deliveries considered,17001,100,SGA
2023,Term-AGA,Included in analysis,9439,59.80864275757192,SGA
2023,Term-SGA,Included in analysis,3649,23.121277404638196,SGA
2023,Preterm-AGA,Included in analysis,2119,13.42668863261944,SGA
2023,Preterm-SGA,Included in analysis,575,3.643391205170447,SGA
2023,Total,All deliveries considered,15782,100,SGA
2024,Term-AGA,Included in analysis,7771,59.91056973248015,SGA
2024,Term-SGA,Included in analysis,3057,23.567959293809267,SGA
2024,Preterm-AGA,Included in analysis,1747,13.468506668722535,SGA
2024,Preterm-SGA,Included in analysis,396,3.05296430498805,SGA
2024,Total,All deliveries considered,12971,100,SGA
2025,Term-AGA,Included in analysis,13893,58.494379184034365,SGA
2025,Term-SGA,Included in analysis,6179,26.015746705401877,SGA
2025,Preterm-AGA,Included in analysis,2984,12.56368152919877,SGA
2025,Preterm-SGA,Included in analysis,695,2.926192581364995,SGA
2025,Total,All deliveries considered,23751,100,SGA
