facility,year,category,explanation,n,percentage,classification
KCH,2022,ELBW,Included in analysis,31,1.8192488262910798,Birthweight
KCH,2022,VLBW,Included in analysis,191,11.208920187793426,Birthweight
KCH,2022,LBW,Included in analysis,528,30.985915492957744,Birthweight
KCH,2022,NBW,Included in analysis,923,54.166666666666664,Birthweight
KCH,2022,HBW,Included in analysis,31,1.8192488262910798,Birthweight
KCH,2022,Total,All deliveries considered,1704,100,Birthweight
KCH,2023,ELBW,Included in analysis,43,2.6060606060606064,Birthweight
KCH,2023,VLBW,Included in analysis,162,9.818181818181818,Birthweight
KCH,2023,LBW,Included in analysis,490,29.6969696969697,Birthweight
KCH,2023,NBW,Included in analysis,912,55.27272727272727,Birthweight
KCH,2023,HBW,Included in analysis,43,2.6060606060606064,Birthweight
KCH,2023,Total,All deliveries considered,1650,100,Birthweight
KCH,2024,ELBW,Included in analysis,32,2.335766423357664,Birthweight
KCH,2024,VLBW,Included in analysis,123,8.978102189781021,Birthweight
KCH,2024,LBW,Included in analysis,377,27.51824817518248,Birthweight
KCH,2024,NBW,Included in analysis,807,58.9051094890511,Birthweight
KCH,2024,HBW,Included in analysis,31,2.2627737226277373,Birthweight
KCH,2024,Total,All deliveries considered,1370,100,Birthweight
KCH,2025,ELBW,Included in analysis,32,1.5030530765617662,Birthweight
KCH,2025,VLBW,Included in analysis,157,7.374354156881164,Birthweight
KCH,2025,LBW,Included in analysis,598,28.088304368248,Birthweight
KCH,2025,NBW,Included in analysis,1303,61.20244246124942,Birthweight
KCH,2025,HBW,Included in analysis,39,1.8318459370596525,Birthweight
KCH,2025,Total,All deliveries considered,2129,100,Birthweight
SMCH,2022,ELBW,Included in analysis,133,0.8694515264430933,Birthweight
SMCH,2022,VLBW,Included in analysis,299,1.954631627116428,Birthweight
SMCH,2022,LBW,Included in analysis,2552,16.683009740471988,Birthweight
SMCH,2022,NBW,Included in analysis,12060,78.83898803686998,Birthweight
SMCH,2022,HBW,Included in analysis,253,1.653919069098516,Birthweight
SMCH,2022,Total,All deliveries considered,15297,100,Birthweight
SMCH,2023,ELBW,Included in analysis,105,0.7429946221341636,Birthweight
SMCH,2023,VLBW,Included in analysis,225,1.5921313331446363,Birthweight
SMCH,2023,LBW,Included in analysis,1647,11.654401358618738,Birthweight
SMCH,2023,NBW,Included in analysis,11882,84.07868666855364,Birthweight
SMCH,2023,HBW,Included in analysis,273,1.9317860175488255,Birthweight
SMCH,2023,Total,All deliveries considered,14132,100,Birthweight
SMCH,2024,ELBW,Included in analysis,91,0.7844151366261529,Birthweight
SMCH,2024,VLBW,Included in analysis,149,1.2843720368933713,Birthweight
SMCH,2024,LBW,Included in analysis,1289,11.11111111111111,Birthweight
SMCH,2024,NBW,Included in analysis,9856,84.95819325920179,Birthweight
