facility,season,category,explanation,n,percentage,classification
Global,Warm and wet,ELBW,Included in analysis,620,2.2,Birthweight
Global,Warm and wet,VLBW,Included in analysis,818,2.9,Birthweight
Global,Warm and wet,LBW,Included in analysis,4374,15.7,Birthweight
Global,Warm and wet,NBW,Included in analysis,21557,77.4,Birthweight
Global,Warm and wet,HBW,Included in analysis,476,1.7,Birthweight
Global,Warm and wet,Total,All deliveries considered,27845,100,Birthweight
Global,Cool and wet,ELBW,Included in analysis,251,2.2,Birthweight
Global,Cool and wet,VLBW,Included in analysis,331,2.9,Birthweight
Global,Cool and wet,LBW,Included in analysis,1851,16.1,Birthweight
Global,Cool and wet,NBW,Included in analysis,8899,77.3,Birthweight
Global,Cool and wet,HBW,Included in analysis,176,1.5,Birthweight
Global,Cool and wet,Total,All deliveries considered,11508,100,Birthweight
Global,Cool and dry,ELBW,Included in analysis,326,2.2,Birthweight
Global,Cool and dry,VLBW,Included in analysis,465,3.1,Birthweight
Global,Cool and dry,LBW,Included in analysis,2333,15.4,Birthweight
Global,Cool and dry,NBW,Included in analysis,11703,77.5,Birthweight
Global,Cool and dry,HBW,Included in analysis,279,1.8,Birthweight
Global,Cool and dry,Total,All deliveries considered,15106,100,Birthweight
Global,Warm and dry,ELBW,Included in analysis,140,2.1,Birthweight
Global,Warm and dry,VLBW,Included in analysis,197,3,Birthweight
Global,Warm and dry,LBW,Included in analysis,932,14.2,Birthweight
Global,Warm and dry,NBW,Included in analysis,5153,78.4,Birthweight
Global,Warm and dry,HBW,Included in analysis,154,2.3,Birthweight
Global,Warm and dry,Total,All deliveries considered,6576,100,Birthweight
Global,Hot and dry,ELBW,Included in analysis,255,2,Birthweight
Global,Hot and dry,VLBW,Included in analysis,390,3,Birthweight
Global,Hot and dry,LBW,Included in analysis,1693,13.2,Birthweight
Global,Hot and dry,NBW,Included in analysis,10220,79.8,Birthweight
Global,Hot and dry,HBW,Included in analysis,242,1.9,Birthweight
Global,Hot and dry,Total,All deliveries considered,12800,100,Birthweight
Global,Warm and wet,Term-AGA,Included in analysis,15157,54.4,SGA
Global,Warm and wet,Term-SGA,Included in analysis,7086,25.4,SGA
Global,Warm and wet,Preterm-AGA,Included in analysis,4218,15.1,SGA
Global,Warm and wet,Preterm-SGA,Included in analysis,1384,5,SGA
Global,Warm and wet,Total,All deliveries considered,27845,100,SGA
Global,Cool and wet,Term-AGA,Included in analysis,6197,53.8,SGA
Global,Cool and wet,Term-SGA,Included in analysis,3085,26.8,SGA
Global,Cool and wet,Preterm-AGA,Included in analysis,1716,14.9,SGA
Global,Cool and wet,Preterm-SGA,Included in analysis,510,4.4,SGA
Global,Cool and wet,Total,All deliveries considered,11508,100,SGA
Global,Cool and dry,Term-AGA,Included in analysis,8462,56,SGA
Global,Cool and dry,Term-SGA,Included in analysis,3564,23.6,SGA
Global,Cool and dry,Preterm-AGA,Included in analysis,2350,15.6,SGA
Global,Cool and dry,Preterm-SGA,Included in analysis,730,4.8,SGA
Global,Cool and dry,Total,All deliveries considered,15106,100,SGA
Global,Warm and dry,Term-AGA,Included in analysis,3806,57.9,SGA
Global,Warm and dry,Term-SGA,Included in analysis,1504,22.9,SGA
Global,Warm and dry,Preterm-AGA,Included in analysis,983,14.9,SGA
Global,Warm and dry,Preterm-SGA,Included in analysis,283,4.3,SGA
Global,Warm and dry,Total,All deliveries considered,6576,100,SGA
Global,Hot and dry,Term-AGA,Included in analysis,7461,58.3,SGA
Global,Hot and dry,Term-SGA,Included in analysis,3004,23.5,SGA
Global,Hot and dry,Preterm-AGA,Included in analysis,1761,13.8,SGA
Global,Hot and dry,Preterm-SGA,Included in analysis,574,4.5,SGA
Global,Hot and dry,Total,All deliveries considered,12800,100,SGA
