facility,season,category,explanation,n,percentage,classification
KCH,Warm and wet,ELBW,Included in analysis,67,2.7,Birthweight
KCH,Warm and wet,VLBW,Included in analysis,263,10.5,Birthweight
KCH,Warm and wet,LBW,Included in analysis,795,31.9,Birthweight
KCH,Warm and wet,NBW,Included in analysis,1322,53,Birthweight
KCH,Warm and wet,HBW,Included in analysis,46,1.8,Birthweight
KCH,Warm and wet,Total,All deliveries considered,2493,100,Birthweight
KCH,Cool and wet,ELBW,Included in analysis,27,2.4,Birthweight
KCH,Cool and wet,VLBW,Included in analysis,108,9.8,Birthweight
KCH,Cool and wet,LBW,Included in analysis,300,27.1,Birthweight
KCH,Cool and wet,NBW,Included in analysis,644,58.2,Birthweight
KCH,Cool and wet,HBW,Included in analysis,28,2.5,Birthweight
KCH,Cool and wet,Total,All deliveries considered,1107,100,Birthweight
KCH,Cool and dry,ELBW,Included in analysis,57,2.9,Birthweight
KCH,Cool and dry,VLBW,Included in analysis,175,8.9,Birthweight
KCH,Cool and dry,LBW,Included in analysis,576,29.4,Birthweight
KCH,Cool and dry,NBW,Included in analysis,1116,56.9,Birthweight
KCH,Cool and dry,HBW,Included in analysis,38,1.9,Birthweight
KCH,Cool and dry,Total,All deliveries considered,1962,100,Birthweight
KCH,Warm and dry,ELBW,Included in analysis,20,2.7,Birthweight
KCH,Warm and dry,VLBW,Included in analysis,81,11,Birthweight
KCH,Warm and dry,LBW,Included in analysis,200,27.2,Birthweight
KCH,Warm and dry,NBW,Included in analysis,421,57.3,Birthweight
KCH,Warm and dry,HBW,Included in analysis,13,1.8,Birthweight
KCH,Warm and dry,Total,All deliveries considered,735,100,Birthweight
KCH,Hot and dry,ELBW,Included in analysis,24,2.4,Birthweight
KCH,Hot and dry,VLBW,Included in analysis,119,11.9,Birthweight
KCH,Hot and dry,LBW,Included in analysis,282,28.1,Birthweight
KCH,Hot and dry,NBW,Included in analysis,553,55.2,Birthweight
KCH,Hot and dry,HBW,Included in analysis,24,2.4,Birthweight
KCH,Hot and dry,Total,All deliveries considered,1002,100,Birthweight
SMCH,Warm and wet,ELBW,Included in analysis,553,2.2,Birthweight
SMCH,Warm and wet,VLBW,Included in analysis,555,2.2,Birthweight
