description,n,percentage_of_total,Filter_notes
Total deliveries (all births),73835,100,All records
Total stillbirths (all gestations),3817,5.2,"neotreeoutcome in c(""SBF"",""SBM"",""STBF"",""STBM"") & gestation >= 22 wks"
Stillbirths >= 22 weeks,3817,5.2,"neotreeoutcome in c(""SBF"",""SBM"",""STBF"",""STBM"") & gestation >= 22 wks (applied)"
Stillbirths with valid birthweight (LBW sample size),3817,100,is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg
Discarded for LBW (Missing/invalid birthweight),0,0,is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg
Stillbirths with valid SGA classification,3817,100,is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg AND !is.na(gestation) & gestation >= 22 wks & gestation <= 42 wks
Discarded for SGA (Missing BW),0,0,Birth weight invalid / missing
Discarded for SGA (Missing GA),0,0,Gestational age invalid / missing
Discarded for SGA (Missing both BW and GA),0,0,Both BW and GA invalid / missing
,NA,NA,NA
Early stillbirths (22-27+6 weeks),641,16.8,gestation >= 22 & gestation < 28 weeks
Late stillbirths (>=28 weeks),3176,83.2,gestation >= 28 weeks
,NA,NA,NA
KCH - Total deliveries,7299,9.9,NA
KCH - Stillbirths >= 22w,437,6,"neotreeoutcome in c(""SBF"",""SBM"",""STBF"",""STBM"") & gestation >= 22 wks (applied)"
KCH - LBW sample size,437,100,is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg
KCH - Discarded for LBW,0,0,NOT (is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg)
KCH - SGA sample size,874,200,NA
KCH - Discarded for SGA (Missing BW),0,0,Birth weight invalid / missing
KCH - Discarded for SGA (Missing GA),0,0,Gestational age invalid / missing
KCH - Discarded for SGA (Missing both BW and GA),0,0,Both BW and GA invalid / missing
,NA,NA,NA
SMCH - Total deliveries,66536,90.1,NA
SMCH - Stillbirths >= 22w,3380,5.1,"neotreeoutcome in c(""SBF"",""SBM"",""STBF"",""STBM"") & gestation >= 22 wks (applied)"
SMCH - LBW sample size,3380,100,is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg
SMCH - Discarded for LBW,0,0,NOT (is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg)
SMCH - SGA sample size,6760,200,NA
SMCH - Discarded for SGA (Missing BW),0,0,Birth weight invalid / missing
SMCH - Discarded for SGA (Missing GA),0,0,Gestational age invalid / missing
SMCH - Discarded for SGA (Missing both BW and GA),0,0,Both BW and GA invalid / missing
