year,category,explanation,n,percentage,classification
2022,ELBW,Included in analysis,299,26.625111308993766,Birthweight
2022,VLBW,Included in analysis,146,13.000890471950132,Birthweight
2022,LBW,Included in analysis,310,27.604630454140693,Birthweight
2022,NBW,Included in analysis,357,31.789848619768478,Birthweight
2022,HBW,Included in analysis,11,0.9795191451469278,Birthweight
2022,Total,All deliveries considered,1123,100,Birthweight
2023,ELBW,Included in analysis,194,21.748878923766814,Birthweight
2023,VLBW,Included in analysis,146,16.367713004484305,Birthweight
2023,LBW,Included in analysis,215,24.103139013452914,Birthweight
2023,NBW,Included in analysis,323,36.210762331838566,Birthweight
2023,HBW,Included in analysis,14,1.5695067264573992,Birthweight
2023,Total,All deliveries considered,892,100,Birthweight
2024,ELBW,Included in analysis,153,21.82596291012839,Birthweight
2024,VLBW,Included in analysis,91,12.981455064194009,Birthweight
2024,LBW,Included in analysis,189,26.961483594864475,Birthweight
2024,NBW,Included in analysis,261,37.23252496433666,Birthweight
2024,HBW,Included in analysis,7,0.9985734664764622,Birthweight
2024,Total,All deliveries considered,701,100,Birthweight
2025,ELBW,Included in analysis,157,14.259763851044504,Birthweight
2025,VLBW,Included in analysis,176,15.985467756584923,Birthweight
2025,LBW,Included in analysis,324,29.427792915531338,Birthweight
2025,NBW,Included in analysis,425,38.60127157129882,Birthweight
2025,HBW,Included in analysis,19,1.725703905540418,Birthweight
2025,Total,All deliveries considered,1101,100,Birthweight
2022,Term-AGA,Included in analysis,224,19.946571682991987,SGA
2022,Term-SGA,Included in analysis,165,14.692787177203916,SGA
2022,Preterm-AGA,Included in analysis,413,36.776491540516474,SGA
2022,Preterm-SGA,Included in analysis,321,28.584149599287624,SGA
2022,Total,All deliveries considered,1123,100,SGA
2023,Term-AGA,Included in analysis,199,22.309417040358746,SGA
2023,Term-SGA,Included in analysis,126,14.125560538116591,SGA
2023,Preterm-AGA,Included in analysis,337,37.780269058295964,SGA
2023,Preterm-SGA,Included in analysis,230,25.784753363228702,SGA
2023,Total,All deliveries considered,892,100,SGA
2024,Term-AGA,Included in analysis,154,21.96861626248217,SGA
2024,Term-SGA,Included in analysis,113,16.119828815977176,SGA
2024,Preterm-AGA,Included in analysis,251,35.805991440798856,SGA
2024,Preterm-SGA,Included in analysis,183,26.105563480741793,SGA
2024,Total,All deliveries considered,701,100,SGA
2025,Term-AGA,Included in analysis,252,22.888283378746593,SGA
2025,Term-SGA,Included in analysis,174,15.803814713896458,SGA
2025,Preterm-AGA,Included in analysis,421,38.23796548592189,SGA
2025,Preterm-SGA,Included in analysis,254,23.06993642143506,SGA
2025,Total,All deliveries considered,1101,100,SGA
