facility,year,category,explanation,n,percentage,classification
KCH,2022,ELBW,Included in analysis,17,12.23021582733813,Birthweight
KCH,2022,VLBW,Included in analysis,33,23.741007194244602,Birthweight
KCH,2022,LBW,Included in analysis,55,39.568345323741006,Birthweight
KCH,2022,NBW,Included in analysis,34,24.46043165467626,Birthweight
KCH,2022,Total,All deliveries considered,139,100,Birthweight
KCH,2023,ELBW,Included in analysis,15,12.711864406779661,Birthweight
KCH,2023,VLBW,Included in analysis,31,26.27118644067797,Birthweight
KCH,2023,LBW,Included in analysis,34,28.8135593220339,Birthweight
KCH,2023,NBW,Included in analysis,37,31.35593220338983,Birthweight
KCH,2023,HBW,Included in analysis,1,0.847457627118644,Birthweight
KCH,2023,Total,All deliveries considered,118,100,Birthweight
KCH,2024,ELBW,Included in analysis,7,11.11111111111111,Birthweight
KCH,2024,VLBW,Included in analysis,16,25.396825396825395,Birthweight
KCH,2024,LBW,Included in analysis,26,41.269841269841265,Birthweight
KCH,2024,NBW,Included in analysis,13,20.634920634920633,Birthweight
KCH,2024,HBW,Included in analysis,1,1.5873015873015872,Birthweight
KCH,2024,Total,All deliveries considered,63,100,Birthweight
KCH,2025,ELBW,Included in analysis,12,10.256410256410255,Birthweight
KCH,2025,VLBW,Included in analysis,30,25.64102564102564,Birthweight
KCH,2025,LBW,Included in analysis,45,38.46153846153847,Birthweight
KCH,2025,NBW,Included in analysis,27,23.076923076923077,Birthweight
KCH,2025,HBW,Included in analysis,3,2.564102564102564,Birthweight
KCH,2025,Total,All deliveries considered,117,100,Birthweight
SMCH,2022,ELBW,Included in analysis,282,28.65853658536585,Birthweight
SMCH,2022,VLBW,Included in analysis,113,11.483739837398375,Birthweight
SMCH,2022,LBW,Included in analysis,255,25.914634146341463,Birthweight
SMCH,2022,NBW,Included in analysis,323,32.82520325203252,Birthweight
SMCH,2022,HBW,Included in analysis,11,1.1178861788617886,Birthweight
SMCH,2022,Total,All deliveries considered,984,100,Birthweight
SMCH,2023,ELBW,Included in analysis,179,23.126614987080103,Birthweight
SMCH,2023,VLBW,Included in analysis,115,14.857881136950905,Birthweight
SMCH,2023,LBW,Included in analysis,181,23.385012919896642,Birthweight
SMCH,2023,NBW,Included in analysis,286,36.95090439276486,Birthweight
SMCH,2023,HBW,Included in analysis,13,1.6795865633074936,Birthweight
SMCH,2023,Total,All deliveries considered,774,100,Birthweight
SMCH,2024,ELBW,Included in analysis,146,22.884012539184955,Birthweight
SMCH,2024,VLBW,Included in analysis,75,11.755485893416928,Birthweight
SMCH,2024,LBW,Included in analysis,163,25.54858934169279,Birthweight
SMCH,2024,NBW,Included in analysis,248,38.87147335423197,Birthweight
SMCH,2024,HBW,Included in analysis,6,0.9404388714733543,Birthweight
SMCH,2024,Total,All deliveries considered,638,100,Birthweight
SMCH,2025,ELBW,Included in analysis,145,14.735772357723578,Birthweight
SMCH,2025,VLBW,Included in analysis,146,14.83739837398374,Birthweight
SMCH,2025,LBW,Included in analysis,279,28.353658536585364,Birthweight
SMCH,2025,NBW,Included in analysis,398,40.447154471544714,Birthweight
SMCH,2025,HBW,Included in analysis,16,1.6260162601626018,Birthweight
SMCH,2025,Total,All deliveries considered,984,100,Birthweight
KCH,2022,Term-AGA,Included in analysis,20,14.388489208633093,SGA
KCH,2022,Term-SGA,Included in analysis,9,6.474820143884892,SGA
KCH,2022,Preterm-AGA,Included in analysis,84,60.431654676258994,SGA
KCH,2022,Preterm-SGA,Included in analysis,26,18.705035971223023,SGA
KCH,2022,Total,All deliveries considered,139,100,SGA
KCH,2023,Term-AGA,Included in analysis,22,18.64406779661017,SGA
KCH,2023,Term-SGA,Included in analysis,12,10.16949152542373,SGA
KCH,2023,Preterm-AGA,Included in analysis,59,50,SGA
KCH,2023,Preterm-SGA,Included in analysis,25,21.1864406779661,SGA
KCH,2023,Total,All deliveries considered,118,100,SGA
KCH,2024,Term-AGA,Included in analysis,6,9.523809523809524,SGA
KCH,2024,Term-SGA,Included in analysis,5,7.936507936507936,SGA
KCH,2024,Preterm-AGA,Included in analysis,34,53.96825396825397,SGA
KCH,2024,Preterm-SGA,Included in analysis,18,28.57142857142857,SGA
KCH,2024,Total,All deliveries considered,63,100,SGA
KCH,2025,Term-AGA,Included in analysis,17,14.529914529914532,SGA
KCH,2025,Term-SGA,Included in analysis,11,9.401709401709402,SGA
KCH,2025,Preterm-AGA,Included in analysis,64,54.700854700854705,SGA
KCH,2025,Preterm-SGA,Included in analysis,25,21.367521367521366,SGA
KCH,2025,Total,All deliveries considered,117,100,SGA
SMCH,2022,Term-AGA,Included in analysis,204,20.73170731707317,SGA
SMCH,2022,Term-SGA,Included in analysis,156,15.853658536585366,SGA
SMCH,2022,Preterm-AGA,Included in analysis,329,33.4349593495935,SGA
SMCH,2022,Preterm-SGA,Included in analysis,295,29.979674796747968,SGA
SMCH,2022,Total,All deliveries considered,984,100,SGA
SMCH,2023,Term-AGA,Included in analysis,177,22.868217054263564,SGA
SMCH,2023,Term-SGA,Included in analysis,114,14.728682170542637,SGA
SMCH,2023,Preterm-AGA,Included in analysis,278,35.917312661498705,SGA
SMCH,2023,Preterm-SGA,Included in analysis,205,26.48578811369509,SGA
SMCH,2023,Total,All deliveries considered,774,100,SGA
SMCH,2024,Term-AGA,Included in analysis,148,23.197492163009404,SGA
SMCH,2024,Term-SGA,Included in analysis,108,16.927899686520377,SGA
SMCH,2024,Preterm-AGA,Included in analysis,217,34.01253918495298,SGA
SMCH,2024,Preterm-SGA,Included in analysis,165,25.862068965517242,SGA
SMCH,2024,Total,All deliveries considered,638,100,SGA
SMCH,2025,Term-AGA,Included in analysis,235,23.882113821138212,SGA
SMCH,2025,Term-SGA,Included in analysis,163,16.565040650406505,SGA
SMCH,2025,Preterm-AGA,Included in analysis,357,36.28048780487805,SGA
SMCH,2025,Preterm-SGA,Included in analysis,229,23.272357723577237,SGA
SMCH,2025,Total,All deliveries considered,984,100,SGA
