description,n,pct_of_total,Filter_notes
Total admissions,30346,100,NA
Total neonatal deaths (NND),5266,17.4,"normalise_outcome(neotreeoutcome) == ""Neonatal Death"""
NNDs with known cause of death,5250,17.3,"normalise_outcome(neotreeoutcome) == ""Neonatal Death"" AND causedeath is not NA/empty — mapped via normalise_cause() and map_cause_to_category()"
NNDs with unknown/missing cause of death,16,0.1,"normalise_outcome(neotreeoutcome) == ""Neonatal Death"" AND (causedeath is NA or empty)"
Total admissions with valid birthweight (LBW sample),30346,100,is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg
Discarded for LBW (missing/invalid birthweight),0,0,NOT (is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg)
NNDs with valid birthweight,5266,17.4,"normalise_outcome(neotreeoutcome) == ""Neonatal Death"" AND is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg"
Total admissions with valid SGA classification,30346,100,is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg AND !is.na(gestation) & gestation >= 24 wks & gestation <= 42 wks AND !is.na(sga_category)
NNDs with valid SGA classification,5266,17.4,"normalise_outcome(neotreeoutcome) == ""Neonatal Death"" AND is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg AND !is.na(gestation) & gestation >= 24 wks & gestation <= 42 wks AND !is.na(sga_category)"
Discarded for SGA (Missing BW),0,0,Invalid/missing birth weight
Discarded for SGA (Missing GA),0,0,Invalid/missing gestational age
Discarded for SGA (Missing both BW and GA),0,0,Both BW and GA invalid/missing
