facility,causedeath,n,pct
KCH,PRRDS,288,55.1
KCH,NS,66,12.6
KCH,BA,26,5
KCH,RF,26,5
KCH,OTH,18,3.4
KCH,HYP,15,2.9
KCH,AP,12,2.3
KCH,CHD,10,1.9
KCH,EONS,10,1.9
KCH,ASP,7,1.3
KCH,CAI,7,1.3
KCH,SH,6,1.1
KCH,Unknown,5,1
KCH,HYPT,4,0.8
KCH,RDNT,4,0.8
KCH,AN,3,0.6
KCH,HYPG,3,0.6
KCH,LBW,3,0.6
KCH,LONS,2,0.4
KCH,MEN,2,0.4
KCH,UNK,2,0.4
KCH,BO,1,0.2
KCH,Cong,1,0.2
KCH,MA,1,0.2
KCH,TTN,1,0.2
SMCH,PremRD,176,21.8
SMCH,BA,108,13.4
SMCH,GSch,53,6.6
SMCH,TermRD,49,6.1
SMCH,OTH,44,5.4
SMCH,ExLBW,36,4.5
SMCH,SEPS,35,4.3
SMCH,HIE,30,3.7
SMCH,VPrem,30,3.7
SMCH,Cong,29,3.6
SMCH,VLBW,29,3.6
SMCH,ExPrem,27,3.3
SMCH,PRRDS,21,2.6
SMCH,LBW,19,2.4
SMCH,Prem,18,2.2
SMCH,MA,15,1.9
SMCH,Gastro,11,1.4
SMCH,EONS,10,1.2
SMCH,CHD,7,0.9
SMCH,Omph,6,0.7
SMCH,PR,6,0.7
SMCH,ASP,5,0.6
SMCH,LONS,5,0.6
SMCH,sHIE,5,0.6
SMCH,Conv,4,0.5
SMCH,PN,4,0.5
SMCH,CA,3,0.4
SMCH,GSchis,3,0.4
SMCH,An,2,0.2
SMCH,BI,2,0.2
SMCH,DJ,2,0.2
SMCH,MAS,2,0.2
SMCH,Myelo,2,0.2
SMCH,BBA,1,0.1
SMCH,CleftRD,1,0.1
SMCH,Dhyd,1,0.1
SMCH,HBW,1,0.1
SMCH,HypogAs,1,0.1
SMCH,HypogSy,1,0.1
SMCH,MiHypo,1,0.1
SMCH,PJaundice,1,0.1
SMCH,RiHypog,1,0.1
SMCH,TTN,1,0.1
Combined,PRRDS,309,23.2
Combined,PremRD,176,13.2
Combined,BA,134,10.1
Combined,NS,66,5
Combined,OTH,62,4.7
Combined,GSch,53,4
Combined,TermRD,49,3.7
Combined,ExLBW,36,2.7
Combined,SEPS,35,2.6
Combined,Cong,30,2.3
Combined,HIE,30,2.3
Combined,VPrem,30,2.3
Combined,VLBW,29,2.2
Combined,ExPrem,27,2
Combined,RF,26,2
Combined,LBW,22,1.7
Combined,EONS,20,1.5
Combined,Prem,18,1.4
Combined,CHD,17,1.3
Combined,MA,16,1.2
Combined,HYP,15,1.1
Combined,AP,12,0.9
Combined,ASP,12,0.9
Combined,Gastro,11,0.8
Combined,CAI,7,0.5
Combined,LONS,7,0.5
Combined,Omph,6,0.5
Combined,PR,6,0.5
Combined,SH,6,0.5
Combined,Unknown,5,0.4
Combined,sHIE,5,0.4
Combined,Conv,4,0.3
Combined,HYPT,4,0.3
Combined,PN,4,0.3
Combined,RDNT,4,0.3
Combined,AN,3,0.2
Combined,CA,3,0.2
Combined,GSchis,3,0.2
Combined,HYPG,3,0.2
Combined,An,2,0.2
Combined,BI,2,0.2
Combined,DJ,2,0.2
Combined,MAS,2,0.2
Combined,MEN,2,0.2
Combined,Myelo,2,0.2
Combined,TTN,2,0.2
Combined,UNK,2,0.2
Combined,BBA,1,0.1
Combined,BO,1,0.1
Combined,CleftRD,1,0.1
Combined,Dhyd,1,0.1
Combined,HBW,1,0.1
Combined,HypogAs,1,0.1
Combined,HypogSy,1,0.1
Combined,MiHypo,1,0.1
Combined,PJaundice,1,0.1
Combined,RiHypog,1,0.1
