facility,temp_interval,Term-AGA_NND,Term-AGA_DC,Term-SGA_NND,Term-SGA_DC,Preterm-AGA_NND,Preterm-AGA_DC,Preterm-SGA_NND,Preterm-SGA_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,< 32.0,0,0,0,0,5,2,2,1,0,0,0,0,0,0,0,0,7,3,SGA
KCH,32.0 - 35.9,18,130,10,68,209,565,131,191,0,0,0,0,0,0,0,0,368,954,SGA
KCH,36.0 - 36.4,6,181,9,54,62,370,41,93,0,0,0,0,0,0,0,0,118,698,SGA
KCH,36.5 - 37.5,19,442,8,124,92,599,50,155,0,0,0,0,0,0,0,0,169,1320,SGA
KCH,> 37.5,5,124,1,25,16,84,3,20,0,0,0,0,0,0,0,0,25,253,SGA
SMCH,< 32.0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,5,1,SGA
SMCH,32.0 - 35.9,51,176,50,143,163,162,85,81,0,0,0,0,0,0,0,0,349,562,SGA
SMCH,36.0 - 36.4,94,535,73,351,254,329,141,172,0,0,0,0,0,0,0,0,562,1387,SGA
SMCH,36.5 - 37.5,524,6851,497,3514,817,2532,493,1073,0,0,0,0,0,0,0,0,2331,13970,SGA
SMCH,> 37.5,20,465,15,181,12,50,8,5,0,0,0,0,0,0,0,0,55,701,SGA
