facility,age_interval,ELBW_NND,ELBW_DC,VLBW_NND,VLBW_DC,LBW_NND,LBW_DC,NBW_NND,NBW_DC,HBW_NND,HBW_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,< 16,2,0,1,5,3,21,4,21,0,0,0,0,0,0,0,0,0,0,10,47,Birthweight
KCH,16 - 19,42,14,127,226,139,560,133,632,1,9,0,0,0,0,0,0,0,0,442,1441,Birthweight
KCH,20 - 24,61,20,154,262,125,750,143,1032,2,25,0,0,0,0,0,0,0,0,485,2089,Birthweight
KCH,25 - 34,114,29,177,410,150,1089,156,1664,5,95,0,0,0,0,0,0,0,0,602,3287,Birthweight
KCH,>= 35,32,15,80,138,70,371,67,436,3,30,0,0,0,0,0,0,0,0,252,990,Birthweight
SMCH,< 16,3,2,8,8,12,37,6,61,0,0,0,0,0,0,0,0,0,0,29,108,Birthweight
SMCH,16 - 19,60,8,124,60,204,589,191,1342,0,41,0,0,0,0,0,0,0,0,579,2040,Birthweight
SMCH,20 - 24,91,9,203,151,245,1077,287,2705,2,127,0,0,0,0,0,0,0,0,828,4069,Birthweight
SMCH,25 - 34,128,19,239,197,266,1499,302,3435,8,339,0,0,0,0,0,0,0,0,943,5489,Birthweight
SMCH,>= 35,43,13,102,79,112,523,101,1283,8,139,0,0,0,0,0,0,0,0,366,2037,Birthweight
