facility,category,n,percentage,classification
KCH,ELBW,371,3.559777393974285,Birthweight
KCH,VLBW,1730,16.599501055459605,Birthweight
KCH,LBW,3522,33.79389752446747,Birthweight
KCH,NBW,4618,44.310113222030324,Birthweight
KCH,HBW,181,1.7367108040683172,Birthweight
SMCH,ELBW,456,2.288697048785384,Birthweight
SMCH,VLBW,1439,7.2224452921100175,Birthweight
SMCH,LBW,5478,27.49447902027705,Birthweight
SMCH,NBW,11745,58.94900622364987,Birthweight
SMCH,HBW,806,4.045372415177676,Birthweight
KCH,Term-AGA,3746,35.94319708309346,SGA
KCH,Term-SGA,1387,13.308386106313566,SGA
KCH,Preterm-AGA,3662,35.13720974860871,SGA
KCH,Preterm-SGA,1627,15.611207061984263,SGA
SMCH,Term-AGA,8716,43.74623569564344,SGA
SMCH,Term-SGA,4826,24.222043766311984,SGA
SMCH,Preterm-AGA,4323,21.697450311182493,SGA
SMCH,Preterm-SGA,2059,10.334270226862076,SGA
