facility,hiv_group,Term-AGA_NND,Term-AGA_DC,Term-SGA_NND,Term-SGA_DC,Preterm-AGA_NND,Preterm-AGA_DC,Preterm-SGA_NND,Preterm-SGA_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,HIV False (No Test),59,370,32,131,137,320,85,142,0,0,0,0,0,0,0,0,313,963,SGA
KCH,HIV True (Tested),207,1537,115,546,387,1293,223,541,0,0,0,0,0,0,0,0,932,3917,SGA
KCH,HIV True & Reactive,6,89,11,41,30,94,12,29,0,0,0,0,0,0,0,0,59,253,SGA
KCH,HIV True & Non-Reactive,200,1447,103,504,355,1198,211,511,0,0,0,0,0,0,0,0,869,3660,SGA
KCH,HIV True & Unknown,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,4,4,SGA
KCH,HIV test NA,149,1424,81,482,285,1240,204,432,0,0,0,0,0,0,0,0,719,3578,SGA
SMCH,HIV False (No Test),41,491,57,329,301,423,170,192,0,0,0,0,0,0,0,0,569,1435,SGA
SMCH,HIV True (Tested),648,7534,579,3860,948,2650,558,1139,0,0,0,0,0,0,0,0,2733,15183,SGA
SMCH,HIV True & Reactive,60,648,49,408,82,275,71,138,0,0,0,0,0,0,0,0,262,1469,SGA
SMCH,HIV True & Non-Reactive,582,6836,526,3422,850,2347,475,988,0,0,0,0,0,0,0,0,2433,13593,SGA
SMCH,HIV True & Unknown,6,50,4,30,16,28,12,13,0,0,0,0,0,0,0,0,38,121,SGA
SMCH,HIV test NA,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,SGA
