category,explanation,n_total,n_excluded,n_analyzed,mean_los,median_los,min_los,max_los,sd_los,q1_los,q3_los,facility,classification
ELBW,Included in analysis,139,4,135,37.32592592592592,39,1,83,24.085615212066426,14,56.5,Overall,Birthweight
VLBW,Included in analysis,1688,8,1680,26.261309523809523,25,0,82,14.040660030042837,16,35,Overall,Birthweight
LBW,Included in analysis,7283,34,7249,7.411091184990974,5,0,90,8.686444905268369,2,10,Overall,Birthweight
NBW,Included in analysis,14735,54,14681,4.6844901573464215,3,0,89,6.608425791725019,1,5,Overall,Birthweight
HBW,Included in analysis,1012,4,1008,3.167658730158733,1,0,66,6.039152764405035,1,3,Overall,Birthweight
Discarded,Missing or invalid birth weight,152,0,152,8.434210526315791,5,0,62,11.442149946539493,2,9.25,Overall,Birthweight
Total,All survivors considered,25009,104,24905,7.072033728166822,3,0,90,10.010384047005006,2,8,Overall,Birthweight
Term-AGA,Included in analysis,11217,40,11177,4.618591750916914,2,0,89,6.723293203151875,1,5,Overall,SGA
Term-SGA,Included in analysis,5324,22,5302,5.080724254998098,3,0,90,7.130781030825024,2,6,Overall,SGA
Preterm-AGA,Included in analysis,5720,30,5690,10.500878734622042,6,0,87,12.475354474225506,2,14,Overall,SGA
Preterm-SGA,Included in analysis,2362,12,2350,14.991063829787196,10,0,90,14.45865514255979,4,23,Overall,SGA
Missing BW,Missing BW,150,0,150,8.43333333333333,5,0,62,11.494040864356569,2,9,Overall,SGA
Missing GA,Missing GA,234,0,234,5.589743589743588,2,0,59,9.547400469654708,1,5,Overall,SGA
Missing both BW and GA,Missing both BW and GA,2,0,2,8.5,8.5,2,15,9.192388155425117,5.25,11.75,Overall,SGA
Total,All survivors considered,25009,104,24905,7.072033728166822,3,0,90,10.010384047005006,2,8,Overall,SGA
