facility,category,explanation,n_total,n_excluded,n_analyzed,mean_los,median_los,min_los,max_los,sd_los,q1_los,q3_los,classification
KCH,ELBW,Included in analysis,82,4,78,44.01282051282051,47.5,1,83,20.924411636435618,34,59,Birthweight
KCH,VLBW,Included in analysis,1062,6,1056,26.00568181818182,25,0,82,14.145418292917432,16,35,Birthweight
KCH,LBW,Included in analysis,2814,19,2795,9.61431127012524,7,0,90,10.061554068597145,4,12,Birthweight
KCH,NBW,Included in analysis,3842,22,3820,7.700523560209449,5,0,86,8.992292515259363,3,8,Birthweight
KCH,HBW,Included in analysis,163,0,163,7.153374233128837,4,0,59,9.563680539303396,1,7.5,Birthweight
KCH,Discarded,Missing or invalid birth weight,77,0,77,11.870129870129869,7,0,62,13.981520368866082,4,12,Birthweight
KCH,Total,All survivors considered,8040,51,7989,11.17323820252852,6,0,90,12.449780131751565,4,14,Birthweight
SMCH,ELBW,Included in analysis,57,0,57,28.175438596491226,27,1,79,25.27076431020746,2,49,Birthweight
SMCH,VLBW,Included in analysis,626,2,624,26.69391025641025,25,0,80,13.862112577189942,17,35,Birthweight
SMCH,LBW,Included in analysis,4469,15,4454,6.028513695554559,3,0,90,7.371343978573481,2,8,Birthweight
SMCH,NBW,Included in analysis,10893,32,10861,3.62369947518644,2,0,89,5.125632151239779,1,4,Birthweight
SMCH,HBW,Included in analysis,849,4,845,2.3988165680473372,1,0,66,4.722212161408624,1,2,Birthweight
SMCH,Discarded,Missing or invalid birth weight,75,0,75,4.906666666666666,3,0,39,6.4413640768994895,1,6,Birthweight
SMCH,Total,All survivors considered,16969,53,16916,5.135138330574613,2,0,90,7.914795574783913,1,5,Birthweight
KCH,Term-AGA,Included in analysis,3134,14,3120,7.663782051282047,5,0,85,9.031495376944074,3,8,SGA
KCH,Term-SGA,Included in analysis,1098,11,1087,9.621895124195037,6,0,90,10.65271297101196,4,11,SGA
KCH,Preterm-AGA,Included in analysis,2667,19,2648,12.706570996978874,8,0,87,13.464150243138153,4,17,SGA
KCH,Preterm-SGA,Included in analysis,1047,7,1040,19.34615384615385,16,0,83,15.365341817787964,7,28,SGA
KCH,Missing BW,Missing BW,77,0,77,11.870129870129869,7,0,62,13.981520368866082,4,12,SGA
KCH,Missing GA,Missing GA,17,0,17,12.470588235294118,6,0,59,15.100155823114969,3,18,SGA
KCH,Total,All survivors considered,8040,51,7989,11.17323820252852,6,0,90,12.449780131751565,4,14,SGA
SMCH,Term-AGA,Included in analysis,8083,26,8057,3.4393694923668803,2,0,89,5.113394311990813,1,4,SGA
SMCH,Term-SGA,Included in analysis,4226,11,4215,3.90960854092527,2,0,82,5.294115637481801,1,4,SGA
SMCH,Preterm-AGA,Included in analysis,3053,11,3042,8.580867850098613,4,0,80,11.199817470867835,2,11,SGA
SMCH,Preterm-SGA,Included in analysis,1315,5,1310,11.53358778625954,7,0,90,12.677404878436233,2,17,SGA
SMCH,Missing BW,Missing BW,73,0,73,4.808219178082193,3,0,39,6.411052813190358,1,6,SGA
SMCH,Missing GA,Missing GA,217,0,217,5.050691244239633,2,0,59,8.79879053039377,1,5,SGA
SMCH,Missing both BW and GA,Missing both BW and GA,2,0,2,8.5,8.5,2,15,9.192388155425117,5.25,11.75,SGA
SMCH,Total,All survivors considered,16969,53,16916,5.135138330574613,2,0,90,7.914795574783913,1,5,SGA
