group,category,n,total_in_group,percentage,mean_los,classification
Included (<=90d),ELBW,135,24905,0.5,37.3,Birthweight
Included (<=90d),VLBW,1680,24905,6.7,26.3,Birthweight
Included (<=90d),LBW,7249,24905,29.1,7.4,Birthweight
Included (<=90d),NBW,14681,24905,58.9,4.7,Birthweight
Included (<=90d),HBW,1008,24905,4,3.2,Birthweight
Included (<=90d),Discarded,152,24905,0.6,8.4,Birthweight
Outlier (>90d),ELBW,4,104,3.8,119,Birthweight
Outlier (>90d),VLBW,8,104,7.7,175.4,Birthweight
Outlier (>90d),LBW,34,104,32.7,213.8,Birthweight
Outlier (>90d),NBW,54,104,51.9,246.7,Birthweight
Outlier (>90d),HBW,4,104,3.8,296.5,Birthweight
