category,explanation,n_total,n_excluded,n_analyzed,mean_los,median_los,min_los,max_los,sd_los,q1_los,q3_los,facility,classification
ELBW,Included in analysis,139,0,139,39.676258992805764,41,1,149,27.592588751680992,16,58,Overall,Birthweight
VLBW,Included in analysis,1688,0,1688,26.968009478672982,25,0,355,18.645481621332113,16,35,Overall,Birthweight
LBW,Included in analysis,7283,0,7283,8.37457091857745,5,0,642,18.972378231269886,2,10,Overall,Birthweight
NBW,Included in analysis,14735,0,14735,5.571360705802628,3,0,757,18.909536367803316,1,5,Overall,Birthweight
HBW,Included in analysis,1012,0,1012,4.327075098814219,1,0,353,19.526206442216015,1,3,Overall,Birthweight
Discarded,Missing or invalid birth weight,152,0,152,8.434210526315791,5,0,62,11.442149946539493,2,9.25,Overall,Birthweight
Total,All survivors considered,25009,0,25009,7.988484145708116,3,0,757,19.83094203847748,2,8,Overall,Birthweight
Term-AGA,Included in analysis,11217,0,11217,5.55308906124636,3,0,757,19.669588455512738,1,5,Overall,SGA
Term-SGA,Included in analysis,5324,0,5324,5.869271224643229,3,0,642,16.4993752708079,2,6,Overall,SGA
Preterm-AGA,Included in analysis,5720,0,5720,11.52622377622388,6,0,645,21.267141822205893,2,14,Overall,SGA
Preterm-SGA,Included in analysis,2362,0,2362,15.97248094834893,10,0,436,21.630930793409238,4,23,Overall,SGA
Missing BW,Missing BW,150,0,150,8.43333333333333,5,0,62,11.494040864356569,2,9,Overall,SGA
Missing GA,Missing GA,234,0,234,5.589743589743588,2,0,59,9.547400469654708,1,5,Overall,SGA
Missing both BW and GA,Missing both BW and GA,2,0,2,8.5,8.5,2,15,9.192388155425117,5.25,11.75,Overall,SGA
Total,All survivors considered,25009,0,25009,7.988484145708116,3,0,757,19.83094203847748,2,8,Overall,SGA
