facility,category,explanation,n_total,n_excluded,n_analyzed,mean_los,median_los,min_los,max_los,sd_los,q1_los,q3_los,classification
KCH,ELBW,Included in analysis,82,0,82,47.670731707317074,49,1,149,26.416444036004872,34,59.75,Birthweight
KCH,VLBW,Included in analysis,1062,0,1062,26.739171374764588,25,0,333,18.205776094302102,16,35,Birthweight
KCH,LBW,Included in analysis,2814,0,2814,10.581023454157819,7,0,335,16.6658362630812,4,13,Birthweight
KCH,NBW,Included in analysis,3842,0,3842,8.473191046330035,5,0,368,14.841449120496648,3,8,Birthweight
KCH,HBW,Included in analysis,163,0,163,7.153374233128837,4,0,59,9.563680539303396,1,7.5,Birthweight
KCH,Discarded,Missing or invalid birth weight,77,0,77,11.870129870129869,7,0,62,13.981520368866082,4,12,Birthweight
KCH,Total,All survivors considered,8040,0,8040,12.02922885572142,6,0,368,17.48439899986496,4,14,Birthweight
SMCH,ELBW,Included in analysis,57,0,57,28.175438596491226,27,1,79,25.27076431020746,2,49,Birthweight
SMCH,VLBW,Included in analysis,626,0,626,27.356230031948897,25,0,355,19.37724689228583,17,35,Birthweight
SMCH,LBW,Included in analysis,4469,0,4469,6.985231595435213,3,0,642,20.168976334345817,2,8,Birthweight
SMCH,NBW,Included in analysis,10893,0,10893,4.547874781970064,2,0,757,20.050043623223516,1,4,Birthweight
SMCH,HBW,Included in analysis,849,0,849,3.78445229681979,1,0,353,20.86280303402911,1,2,Birthweight
SMCH,Discarded,Missing or invalid birth weight,75,0,75,4.906666666666666,3,0,39,6.4413640768994895,1,6,Birthweight
SMCH,Total,All survivors considered,16969,0,16969,6.073958394719815,2,0,757,20.576002702471374,1,5,Birthweight
KCH,Term-AGA,Included in analysis,3134,0,3134,8.28079132099552,5,0,368,13.957860337068988,3,8,SGA
KCH,Term-SGA,Included in analysis,1098,0,1098,10.906193078324252,6,0,339,17.916379704113655,4,12,SGA
KCH,Preterm-AGA,Included in analysis,2667,0,2667,13.736032995875478,8,0,335,19.57111570282527,4,17,SGA
KCH,Preterm-SGA,Included in analysis,1047,0,1047,20.084049665711564,16,0,161,17.876317254260425,7,29,SGA
KCH,Missing BW,Missing BW,77,0,77,11.870129870129869,7,0,62,13.981520368866082,4,12,SGA
KCH,Missing GA,Missing GA,17,0,17,12.470588235294118,6,0,59,15.100155823114969,3,18,SGA
KCH,Total,All survivors considered,8040,0,8040,12.02922885572142,6,0,368,17.48439899986496,4,14,SGA
SMCH,Term-AGA,Included in analysis,8083,0,8083,4.495484349870081,2,0,757,21.386755057869337,1,4,SGA
SMCH,Term-SGA,Included in analysis,4226,0,4226,4.560577378135355,2,0,642,15.85323958225459,1,4,SGA
SMCH,Preterm-AGA,Included in analysis,3053,0,3053,9.595807402554863,4,0,645,22.471032950576962,2,11,SGA
SMCH,Preterm-SGA,Included in analysis,1315,0,1315,12.698859315589356,7,0,436,23.70947232321896,2,17,SGA
SMCH,Missing BW,Missing BW,73,0,73,4.808219178082193,3,0,39,6.411052813190358,1,6,SGA
SMCH,Missing GA,Missing GA,217,0,217,5.050691244239633,2,0,59,8.79879053039377,1,5,SGA
SMCH,Missing both BW and GA,Missing both BW and GA,2,0,2,8.5,8.5,2,15,9.192388155425117,5.25,11.75,SGA
SMCH,Total,All survivors considered,16969,0,16969,6.073958394719815,2,0,757,20.576002702471374,1,5,SGA
