facility,category,n_total,n_missing,n_analyzed,pct_missing,mean_temp,sd_temp,n_hypo_severe,n_hypo_mod,n_hypo_mild,pct_hypo_severe,pct_hypo_mod,pct_any_hypo,classification,explanation
KCH,ELBW,489,223,266,45.6,35.24,1.43,7,158,45,2.6,59.4,78.9,Birthweight,NA
KCH,VLBW,1965,982,983,50,35.73,1.12,3,507,191,0.3,51.6,71.3,Birthweight,NA
KCH,LBW,3917,2125,1792,54.3,36.18,1.01,2,606,400,0.1,33.8,56.2,Birthweight,NA
KCH,NBW,5096,3878,1218,76.1,36.64,0.9,0,220,239,0,18.1,37.7,Birthweight,NA
KCH,HBW,204,107,97,52.5,36.85,0.66,0,1,24,0,1,25.8,Birthweight,NA
KCH,Discarded,126,103,23,81.7,35.86,1.2,0,11,1,0,47.8,52.2,Birthweight,NA
KCH,Total,11797,7418,4379,62.9,36.16,1.11,12,1503,900,0.3,34.3,55.1,Birthweight,All admissions considered
SMCH,ELBW,674,1,673,0.1,36.24,1.01,6,139,145,0.9,20.7,43.1,Birthweight,NA
SMCH,VLBW,1650,0,1650,0,36.49,0.72,0,201,317,0,12.2,31.4,Birthweight,NA
SMCH,LBW,6268,1,6267,0,36.7,0.56,3,341,716,0,5.4,16.9,Birthweight,NA
SMCH,NBW,13750,0,13750,0,36.86,0.6,1,388,1070,0,2.8,10.6,Birthweight,NA
SMCH,HBW,982,0,982,0,36.85,0.45,0,19,54,0,1.9,7.4,Birthweight,NA
SMCH,Discarded,99,0,99,0,36.75,0.71,0,6,4,0,6.1,10.1,Birthweight,NA
SMCH,Total,23423,2,23421,0,36.77,0.63,10,1094,2306,0,4.7,14.6,Birthweight,All admissions considered
KCH,Term-AGA,4106,3116,990,75.9,36.7,0.89,0,155,196,0,15.7,35.5,SGA,NA
KCH,Term-SGA,1540,1213,327,78.8,36.33,1.06,0,85,73,0,26,48.3,SGA,NA
KCH,Preterm-AGA,4116,1883,2233,45.7,36.04,1.09,7,874,473,0.3,39.1,60.6,SGA,NA
KCH,Preterm-SGA,1859,1070,789,57.6,35.79,1.17,5,372,155,0.6,47.1,67.4,SGA,NA
KCH,Missing BW,126,103,23,81.7,35.86,1.2,0,11,1,0,47.8,52.2,SGA,NA
KCH,Missing GA,50,33,17,66,35.74,1.81,0,6,2,0,35.3,47.1,SGA,NA
KCH,Total,11797,7418,4379,62.9,36.16,1.11,12,1503,900,0.3,34.3,55.1,SGA,All admissions considered
SMCH,Term-AGA,10000,0,10000,0,36.87,0.59,0,252,731,0,2.5,9.8,SGA,NA
SMCH,Term-SGA,5596,0,5596,0,36.81,0.6,2,218,499,0,3.9,12.8,SGA,NA
SMCH,Preterm-AGA,4943,1,4942,0,36.65,0.63,3,366,654,0.1,7.4,20.7,SGA,NA
SMCH,Preterm-SGA,2368,1,2367,0,36.6,0.63,1,200,348,0,8.4,23.2,SGA,NA
SMCH,Missing BW,94,0,94,0,36.74,0.72,0,6,3,0,6.4,9.6,SGA,NA
SMCH,Missing GA,417,0,417,0,36.44,1.09,4,52,70,1,12.5,30.2,SGA,NA
SMCH,Missing both BW and GA,5,0,5,0,36.82,0.46,0,0,1,0,0,20,SGA,NA
SMCH,Total,23423,2,23421,0,36.77,0.63,10,1094,2306,0,4.7,14.6,SGA,All admissions considered
