facility,outcome,category,explanation,n,mean_temp,classification
KCH,Alive,ELBW,Included in analysis,42,35.75,Birthweight
KCH,Alive,VLBW,Included in analysis,558,35.85,Birthweight
KCH,Alive,LBW,Included in analysis,1475,36.21,Birthweight
KCH,Alive,NBW,Included in analysis,1063,36.64,Birthweight
KCH,Alive,HBW,Included in analysis,83,36.84,Birthweight
KCH,Alive,Discarded,Missing or invalid birth weight,17,36.01,Birthweight
KCH,Alive,Total,All admissions considered,3238,36.3,Birthweight
KCH,Neonatal Death,ELBW,Included in analysis,159,35.07,Birthweight
KCH,Neonatal Death,VLBW,Included in analysis,301,35.53,Birthweight
KCH,Neonatal Death,LBW,Included in analysis,148,36.01,Birthweight
KCH,Neonatal Death,NBW,Included in analysis,75,36.34,Birthweight
KCH,Neonatal Death,HBW,Included in analysis,4,36.5,Birthweight
KCH,Neonatal Death,Discarded,Missing or invalid birth weight,4,35.23,Birthweight
KCH,Neonatal Death,Total,All admissions considered,691,35.62,Birthweight
SMCH,Alive,ELBW,Included in analysis,61,36.58,Birthweight
SMCH,Alive,VLBW,Included in analysis,645,36.51,Birthweight
SMCH,Alive,LBW,Included in analysis,4626,36.73,Birthweight
SMCH,Alive,NBW,Included in analysis,11291,36.88,Birthweight
SMCH,Alive,HBW,Included in analysis,875,36.85,Birthweight
SMCH,Alive,Discarded,Missing or invalid birth weight,77,36.85,Birthweight
SMCH,Alive,Total,All admissions considered,17575,36.82,Birthweight
SMCH,Neonatal Death,ELBW,Included in analysis,509,36.19,Birthweight
SMCH,Neonatal Death,VLBW,Included in analysis,836,36.45,Birthweight
SMCH,Neonatal Death,LBW,Included in analysis,1036,36.59,Birthweight
SMCH,Neonatal Death,NBW,Included in analysis,1145,36.68,Birthweight
SMCH,Neonatal Death,HBW,Included in analysis,25,36.87,Birthweight
SMCH,Neonatal Death,Discarded,Missing or invalid birth weight,14,36.16,Birthweight
SMCH,Neonatal Death,Total,All admissions considered,3565,36.53,Birthweight
