facility,category,explanation,n_total_deaths,0-1 days,1-3 days,3-7 days,7-14 days,14-21 days,>21 days,Unknown Age,classification
KCH,ELBW,Included in analysis,293,87,112,58,13,6,11,6,Birthweight
KCH,VLBW,Included in analysis,600,109,241,141,60,10,32,7,Birthweight
KCH,LBW,Included in analysis,532,63,169,119,85,30,48,18,Birthweight
KCH,NBW,Included in analysis,543,54,148,105,74,56,95,11,Birthweight
KCH,HBW,Included in analysis,12,2,1,3,2,2,1,1,Birthweight
KCH,Discarded,Missing or invalid birth weight,29,5,10,4,5,2,2,1,Birthweight
KCH,Total,All deaths considered,2009,320,681,430,239,106,189,44,Birthweight
SMCH,ELBW,Included in analysis,510,261,146,36,7,4,10,46,Birthweight
SMCH,VLBW,Included in analysis,836,214,317,183,46,15,18,43,Birthweight
SMCH,LBW,Included in analysis,1036,249,396,176,76,31,37,71,Birthweight
SMCH,NBW,Included in analysis,1145,371,493,116,56,13,43,53,Birthweight
SMCH,HBW,Included in analysis,25,13,4,6,0,0,2,0,Birthweight
SMCH,Discarded,Missing or invalid birth weight,14,6,1,1,2,0,1,3,Birthweight
SMCH,Total,All deaths considered,3566,1114,1357,518,187,63,111,216,Birthweight
KCH,Term-AGA,Included in analysis,423,46,112,82,56,42,78,7,SGA
KCH,Term-SGA,Included in analysis,225,14,59,52,48,19,27,6,SGA
KCH,Preterm-AGA,Included in analysis,807,152,299,168,80,29,55,24,SGA
KCH,Preterm-SGA,Included in analysis,507,98,193,121,49,13,27,6,SGA
KCH,Missing BW,Missing BW,29,5,10,4,5,2,2,1,SGA
KCH,Missing GA,Missing GA,18,5,8,3,1,1,0,0,SGA
KCH,Total,All deaths considered,2009,320,681,430,239,106,189,44,SGA
SMCH,Term-AGA,Included in analysis,714,238,299,68,31,7,26,45,SGA
SMCH,Term-SGA,Included in analysis,669,189,270,92,49,10,29,30,SGA
SMCH,Preterm-AGA,Included in analysis,1274,406,474,192,66,31,32,73,SGA
SMCH,Preterm-SGA,Included in analysis,750,200,270,153,37,15,21,54,SGA
SMCH,Missing BW,Missing BW,13,5,1,1,2,0,1,3,SGA
SMCH,Missing GA,Missing GA,145,75,43,12,2,0,2,11,SGA
SMCH,Missing both BW and GA,Missing both BW and GA,1,1,0,0,0,0,0,0,SGA
SMCH,Total,All deaths considered,3566,1114,1357,518,187,63,111,216,SGA
