facility,category,explanation,n_total,n_inborn,n_outborn,n_unknown,pct_inborn,pct_outborn,pct_unknown,classification
KCH,ELBW,Included in analysis,489,302,187,0,61.8,38.2,0,Birthweight
KCH,VLBW,Included in analysis,1965,1079,884,2,54.9,45,0.1,Birthweight
KCH,LBW,Included in analysis,3917,2110,1803,4,53.9,46,0.1,Birthweight
KCH,NBW,Included in analysis,5096,1805,3284,7,35.4,64.4,0.1,Birthweight
KCH,HBW,Included in analysis,204,121,83,0,59.3,40.7,0,Birthweight
KCH,Discarded,Missing or invalid birth weight,126,37,88,1,29.4,69.8,0.8,Birthweight
KCH,Total,All admissions considered,11797,5454,6329,14,46.2,53.6,0.1,Birthweight
SMCH,ELBW,Included in analysis,674,527,128,19,78.2,19,2.8,Birthweight
SMCH,VLBW,Included in analysis,1650,1213,419,18,73.5,25.4,1.1,Birthweight
SMCH,LBW,Included in analysis,6268,4753,1349,166,75.8,21.5,2.6,Birthweight
SMCH,NBW,Included in analysis,13750,10809,2568,373,78.6,18.7,2.7,Birthweight
SMCH,HBW,Included in analysis,982,859,98,25,87.5,10,2.5,Birthweight
SMCH,Discarded,Missing or invalid birth weight,99,69,29,1,69.7,29.3,1,Birthweight
SMCH,Total,All admissions considered,23423,18230,4591,602,77.8,19.6,2.6,Birthweight
KCH,Term-AGA,Included in analysis,4106,1471,2629,6,35.8,64,0.1,SGA
KCH,Term-SGA,Included in analysis,1540,450,1088,2,29.2,70.6,0.1,SGA
KCH,Preterm-AGA,Included in analysis,4116,2564,1552,0,62.3,37.7,0,SGA
KCH,Preterm-SGA,Included in analysis,1859,908,949,2,48.8,51,0.1,SGA
KCH,Missing BW,Missing BW,126,37,88,1,29.4,69.8,0.8,SGA
KCH,Missing GA,Missing GA,50,24,23,3,48,46,6,SGA
KCH,Total,All admissions considered,11797,5454,6329,14,46.2,53.6,0.1,SGA
SMCH,Term-AGA,Included in analysis,10000,7873,1866,261,78.7,18.7,2.6,SGA
SMCH,Term-SGA,Included in analysis,5596,4453,992,151,79.6,17.7,2.7,SGA
SMCH,Preterm-AGA,Included in analysis,4943,3691,1137,115,74.7,23,2.3,SGA
SMCH,Preterm-SGA,Included in analysis,2368,1808,505,55,76.4,21.3,2.3,SGA
SMCH,Missing BW,Missing BW,94,64,29,1,68.1,30.9,1.1,SGA
SMCH,Missing GA,Missing GA,417,336,62,19,80.6,14.9,4.6,SGA
SMCH,Missing both BW and GA,Missing both BW and GA,5,5,0,0,100,0,0,SGA
SMCH,Total,All admissions considered,23423,18230,4591,602,77.8,19.6,2.6,SGA
