facility,classification,category,explanation,n_total_deaths,cause_1,n_1,pct_1,cause_2,n_2,pct_2,cause_3,n_3,pct_3,cause_4,n_4,pct_4,cause_5,n_5,pct_5
KCH,Birthweight,ELBW,Included in analysis,293,Prematurity/RDS,226,77.1,RF,19,6.5,Birth Asphyxia/HIE,17,5.8,Neonatal Sepsis,9,3.1,Cause Not Specified,8,2.7
KCH,Birthweight,VLBW,Included in analysis,600,Prematurity/RDS,372,62,Neonatal Sepsis,76,12.7,RF,43,7.2,Birth Asphyxia/HIE,30,5,Cause Not Specified,21,3.5
KCH,Birthweight,LBW,Included in analysis,532,Prematurity/RDS,141,26.5,Neonatal Sepsis,118,22.2,Cause Not Specified,78,14.7,Birth Asphyxia/HIE,54,10.2,RF,32,6
KCH,Birthweight,NBW,Included in analysis,543,Birth Asphyxia/HIE,174,32,Neonatal Sepsis,117,21.5,Cause Not Specified,58,10.7,Prematurity/RDS,36,6.6,RF,29,5.3
KCH,Birthweight,HBW,Included in analysis,12,Cause Not Specified,3,25,CHD,2,16.7,Neonatal Sepsis,2,16.7,AS,1,8.3,MEN,1,8.3
KCH,Birthweight,Discarded,Missing or invalid birth weight,29,Prematurity/RDS,11,37.9,Birth Asphyxia/HIE,6,20.7,Neonatal Sepsis,5,17.2,Cause Not Specified,2,6.9,AN,1,3.4
KCH,Birthweight,Total,All deaths considered,2009,Prematurity/RDS,787,39.2,Neonatal Sepsis,327,16.3,Birth Asphyxia/HIE,281,14,Cause Not Specified,170,8.5,RF,124,6.2
SMCH,Birthweight,ELBW,Included in analysis,510,Prematurity/RDS,481,94.3,Birth Asphyxia/HIE,8,1.6,Neonatal Sepsis,6,1.2,Cause Not Specified,5,1,Gastroschisis,4,0.8
SMCH,Birthweight,VLBW,Included in analysis,836,Prematurity/RDS,650,77.8,Neonatal Sepsis,42,5,Gastroschisis,34,4.1,Prem,29,3.5,Cause Not Specified,24,2.9
SMCH,Birthweight,LBW,Included in analysis,1036,Prematurity/RDS,387,37.4,Gastroschisis,294,28.4,Birth Asphyxia/HIE,96,9.3,Neonatal Sepsis,72,6.9,Cause Not Specified,65,6.3
SMCH,Birthweight,NBW,Included in analysis,1145,Birth Asphyxia/HIE,612,53.4,Prematurity/RDS,164,14.3,Gastroschisis,111,9.7,Cause Not Specified,85,7.4,Neonatal Sepsis,61,5.3
SMCH,Birthweight,HBW,Included in analysis,25,Birth Asphyxia/HIE,10,40,Prematurity/RDS,4,16,CHD,2,8,Cause Not Specified,2,8,HBW,2,8
SMCH,Birthweight,Discarded,Missing or invalid birth weight,14,Prematurity/RDS,8,57.1,Birth Asphyxia/HIE,3,21.4,Congenital Anomaly,2,14.3,Cause Not Specified,1,7.1,NA,NA,NA
SMCH,Birthweight,Total,All deaths considered,3566,Prematurity/RDS,1694,47.5,Birth Asphyxia/HIE,742,20.8,Gastroschisis,443,12.4,Neonatal Sepsis,183,5.1,Cause Not Specified,182,5.1
KCH,SGA,Term-AGA,Included in analysis,423,Birth Asphyxia/HIE,139,32.9,Neonatal Sepsis,89,21,Cause Not Specified,41,9.7,Prematurity/RDS,27,6.4,RF,24,5.7
KCH,SGA,Term-SGA,Included in analysis,225,Neonatal Sepsis,54,24,Birth Asphyxia/HIE,36,16,Cause Not Specified,36,16,Prematurity/RDS,24,10.7,RF,16,7.1
KCH,SGA,Preterm-AGA,Included in analysis,807,Prematurity/RDS,395,48.9,Neonatal Sepsis,128,15.9,Birth Asphyxia/HIE,75,9.3,RF,57,7.1,Cause Not Specified,50,6.2
KCH,SGA,Preterm-SGA,Included in analysis,507,Prematurity/RDS,317,62.5,Neonatal Sepsis,51,10.1,Cause Not Specified,37,7.3,RF,26,5.1,Birth Asphyxia/HIE,25,4.9
KCH,SGA,Missing BW,Missing BW,29,Prematurity/RDS,11,37.9,Birth Asphyxia/HIE,6,20.7,Neonatal Sepsis,5,17.2,Cause Not Specified,2,6.9,AN,1,3.4
KCH,SGA,Missing GA,Missing GA,18,Prematurity/RDS,13,72.2,Cause Not Specified,4,22.2,Neonatal Sepsis (Late Onset),1,5.6,NA,NA,NA,NA,NA,NA
KCH,SGA,Total,All deaths considered,2009,Prematurity/RDS,787,39.2,Neonatal Sepsis,327,16.3,Birth Asphyxia/HIE,281,14,Cause Not Specified,170,8.5,RF,124,6.2
SMCH,SGA,Term-AGA,Included in analysis,714,Birth Asphyxia/HIE,413,57.8,Prematurity/RDS,102,14.3,Cause Not Specified,52,7.3,Gastroschisis,41,5.7,Neonatal Sepsis,35,4.9
SMCH,SGA,Term-SGA,Included in analysis,669,Birth Asphyxia/HIE,227,33.9,Gastroschisis,167,25,Prematurity/RDS,115,17.2,Cause Not Specified,52,7.8,Congenital Anomaly,37,5.5
SMCH,SGA,Preterm-AGA,Included in analysis,1274,Prematurity/RDS,842,66.1,Gastroschisis,147,11.5,Neonatal Sepsis,72,5.7,Birth Asphyxia/HIE,61,4.8,Cause Not Specified,50,3.9
SMCH,SGA,Preterm-SGA,Included in analysis,750,Prematurity/RDS,516,68.8,Gastroschisis,85,11.3,Neonatal Sepsis,42,5.6,Prem,30,4,Cause Not Specified,22,2.9
SMCH,SGA,Missing BW,Missing BW,13,Prematurity/RDS,7,53.8,Birth Asphyxia/HIE,3,23.1,Congenital Anomaly,2,15.4,Cause Not Specified,1,7.7,NA,NA,NA
