facility,classification,category,explanation,n_total_deaths,cause_1,n_1,pct_1,cause_2,n_2,pct_2,cause_3,n_3,pct_3,cause_4,n_4,pct_4,cause_5,n_5,pct_5
KCH,Birthweight,ELBW,Included in analysis,293,Prematurity/RDS,226,77.1,Other,39,13.3,Birth Asphyxia/HIE,17,5.8,Sepsis/Infection,11,3.8,NA,NA,NA
KCH,Birthweight,VLBW,Included in analysis,600,Prematurity/RDS,372,62,Sepsis/Infection,96,16,Other,94,15.7,Birth Asphyxia/HIE,30,5,Congenital Anomalies,8,1.3
KCH,Birthweight,LBW,Included in analysis,532,Other,175,32.9,Prematurity/RDS,141,26.5,Sepsis/Infection,141,26.5,Birth Asphyxia/HIE,54,10.2,Congenital Anomalies,21,3.9
KCH,Birthweight,NBW,Included in analysis,543,Birth Asphyxia/HIE,174,32,Other,155,28.5,Sepsis/Infection,149,27.4,Prematurity/RDS,36,6.6,Congenital Anomalies,29,5.3
KCH,Birthweight,HBW,Included in analysis,12,Other,5,41.7,Sepsis/Infection,4,33.3,Congenital Anomalies,2,16.7,Prematurity/RDS,1,8.3,NA,NA,NA
KCH,Birthweight,Discarded,Missing or invalid birth weight,29,Prematurity/RDS,11,37.9,Birth Asphyxia/HIE,6,20.7,Sepsis/Infection,6,20.7,Other,5,17.2,Congenital Anomalies,1,3.4
KCH,Birthweight,Total,All deaths considered,2009,Prematurity/RDS,787,39.2,Other,473,23.5,Sepsis/Infection,407,20.3,Birth Asphyxia/HIE,281,14,Congenital Anomalies,61,3
SMCH,Birthweight,ELBW,Included in analysis,510,Prematurity/RDS,481,94.3,Other,9,1.8,Birth Asphyxia/HIE,8,1.6,Sepsis/Infection,7,1.4,Congenital Anomalies,5,1
SMCH,Birthweight,VLBW,Included in analysis,836,Prematurity/RDS,650,77.8,Other,70,8.4,Sepsis/Infection,55,6.6,Congenital Anomalies,48,5.7,Birth Asphyxia/HIE,13,1.6
SMCH,Birthweight,LBW,Included in analysis,1036,Prematurity/RDS,387,37.4,Congenital Anomalies,357,34.5,Other,104,10,Birth Asphyxia/HIE,96,9.3,Sepsis/Infection,92,8.9
SMCH,Birthweight,NBW,Included in analysis,1145,Birth Asphyxia/HIE,612,53.4,Congenital Anomalies,182,15.9,Prematurity/RDS,164,14.3,Other,111,9.7,Sepsis/Infection,76,6.6
SMCH,Birthweight,HBW,Included in analysis,25,Birth Asphyxia/HIE,10,40,Congenital Anomalies,4,16,Other,4,16,Prematurity/RDS,4,16,Sepsis/Infection,3,12
SMCH,Birthweight,Discarded,Missing or invalid birth weight,14,Prematurity/RDS,8,57.1,Birth Asphyxia/HIE,3,21.4,Congenital Anomalies,2,14.3,Other,1,7.1,NA,NA,NA
SMCH,Birthweight,Total,All deaths considered,3566,Prematurity/RDS,1694,47.5,Birth Asphyxia/HIE,742,20.8,Congenital Anomalies,598,16.8,Other,299,8.4,Sepsis/Infection,233,6.5
KCH,SGA,Term-AGA,Included in analysis,423,Birth Asphyxia/HIE,139,32.9,Sepsis/Infection,119,28.1,Other,116,27.4,Prematurity/RDS,27,6.4,Congenital Anomalies,22,5.2
KCH,SGA,Term-SGA,Included in analysis,225,Other,81,36,Sepsis/Infection,66,29.3,Birth Asphyxia/HIE,36,16,Prematurity/RDS,24,10.7,Congenital Anomalies,18,8
KCH,SGA,Preterm-AGA,Included in analysis,807,Prematurity/RDS,395,48.9,Other,172,21.3,Sepsis/Infection,150,18.6,Birth Asphyxia/HIE,75,9.3,Congenital Anomalies,15,1.9
KCH,SGA,Preterm-SGA,Included in analysis,507,Prematurity/RDS,317,62.5,Other,95,18.7,Sepsis/Infection,65,12.8,Birth Asphyxia/HIE,25,4.9,Congenital Anomalies,5,1
KCH,SGA,Missing BW,Missing BW,29,Prematurity/RDS,11,37.9,Birth Asphyxia/HIE,6,20.7,Sepsis/Infection,6,20.7,Other,5,17.2,Congenital Anomalies,1,3.4
KCH,SGA,Missing GA,Missing GA,18,Prematurity/RDS,13,72.2,Other,4,22.2,Sepsis/Infection,1,5.6,NA,NA,NA,NA,NA,NA
KCH,SGA,Total,All deaths considered,2009,Prematurity/RDS,787,39.2,Other,473,23.5,Sepsis/Infection,407,20.3,Birth Asphyxia/HIE,281,14,Congenital Anomalies,61,3
SMCH,SGA,Term-AGA,Included in analysis,714,Birth Asphyxia/HIE,413,57.8,Prematurity/RDS,102,14.3,Congenital Anomalies,85,11.9,Other,71,9.9,Sepsis/Infection,43,6
SMCH,SGA,Term-SGA,Included in analysis,669,Birth Asphyxia/HIE,227,33.9,Congenital Anomalies,220,32.9,Prematurity/RDS,115,17.2,Other,61,9.1,Sepsis/Infection,46,6.9
SMCH,SGA,Preterm-AGA,Included in analysis,1274,Prematurity/RDS,842,66.1,Congenital Anomalies,187,14.7,Other,95,7.5,Sepsis/Infection,89,7,Birth Asphyxia/HIE,61,4.8
SMCH,SGA,Preterm-SGA,Included in analysis,750,Prematurity/RDS,516,68.8,Congenital Anomalies,100,13.3,Other,65,8.7,Sepsis/Infection,53,7.1,Birth Asphyxia/HIE,16,2.1
SMCH,SGA,Missing BW,Missing BW,13,Prematurity/RDS,7,53.8,Birth Asphyxia/HIE,3,23.1,Congenital Anomalies,2,15.4,Other,1,7.7,NA,NA,NA
SMCH,SGA,Missing GA,Missing GA,145,Prematurity/RDS,111,76.6,Birth Asphyxia/HIE,22,15.2,Other,6,4.1,Congenital Anomalies,4,2.8,Sepsis/Infection,2,1.4
SMCH,SGA,Missing both BW and GA,Missing both BW and GA,1,Prematurity/RDS,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMCH,SGA,Total,All deaths considered,3566,Prematurity/RDS,1694,47.5,Birth Asphyxia/HIE,742,20.8,Congenital Anomalies,598,16.8,Other,299,8.4,Sepsis/Infection,233,6.5
