facility,temp_interval,ELBW_NND,ELBW_DC,VLBW_NND,VLBW_DC,LBW_NND,LBW_DC,NBW_NND,NBW_DC,HBW_NND,HBW_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,< 32.0,6,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,3,Birthweight
KCH,32.0 - 35.9,101,16,174,269,62,483,25,184,1,0,3,7,0,0,0,0,0,0,366,959,Birthweight
KCH,36.0 - 36.4,22,12,57,115,27,330,12,215,0,24,1,0,0,0,0,0,0,0,119,696,Birthweight
KCH,36.5 - 37.5,30,13,62,153,47,575,32,528,2,49,0,9,0,0,0,0,0,0,173,1327,Birthweight
KCH,> 37.5,0,1,7,20,12,85,6,136,1,10,0,1,0,0,0,0,0,0,26,253,Birthweight
SMCH,< 32.0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,1,Birthweight
SMCH,32.0 - 35.9,110,5,110,77,103,207,80,277,1,16,5,1,0,0,0,0,0,0,409,583,Birthweight
SMCH,36.0 - 36.4,116,10,179,116,154,484,161,813,2,45,1,2,0,0,0,0,0,0,613,1470,Birthweight
SMCH,36.5 - 37.5,275,44,542,446,764,3876,871,9538,21,791,8,70,0,0,0,0,0,0,2481,14765,Birthweight
SMCH,> 37.5,2,2,5,6,15,58,32,663,1,23,0,4,0,0,0,0,0,0,55,756,Birthweight
