facility,temp_interval,Term-AGA_NND,Term-AGA_DC,Term-SGA_NND,Term-SGA_DC,Preterm-AGA_NND,Preterm-AGA_DC,Preterm-SGA_NND,Preterm-SGA_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,< 32.0,0,0,0,0,5,2,2,1,0,0,0,0,0,0,0,0,7,3,SGA
KCH,32.0 - 35.9,17,131,9,68,207,562,126,191,0,0,3,7,4,0,0,0,366,959,SGA
KCH,36.0 - 36.4,7,180,9,54,59,371,42,90,0,0,1,0,1,1,0,0,119,696,SGA
KCH,36.5 - 37.5,20,439,8,124,95,593,50,155,0,0,0,9,0,7,0,0,173,1327,SGA
KCH,> 37.5,6,123,1,25,16,83,3,20,0,0,0,1,0,1,0,0,26,253,SGA
SMCH,< 32.0,0,0,1,1,3,0,1,0,0,0,0,0,2,0,0,0,7,1,SGA
SMCH,32.0 - 35.9,54,180,53,149,167,163,93,82,0,0,5,1,37,8,0,0,409,583,SGA
SMCH,36.0 - 36.4,99,565,79,368,258,337,143,173,0,0,1,2,33,25,0,0,613,1470,SGA
SMCH,36.5 - 37.5,540,7129,522,3668,834,2607,504,1104,0,0,7,68,73,187,1,2,2481,14765,SGA
SMCH,> 37.5,21,482,14,199,12,56,8,5,0,0,0,4,0,10,0,0,55,756,SGA
