facility,age_interval,Term-AGA_NND,Term-AGA_DC,Term-SGA_NND,Term-SGA_DC,Preterm-AGA_NND,Preterm-AGA_DC,Preterm-SGA_NND,Preterm-SGA_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,< 16,3,15,2,4,4,24,1,3,0,0,1,1,0,0,0,0,11,47,SGA
KCH,16 - 19,102,497,53,183,179,535,112,218,0,0,6,21,3,4,0,0,455,1458,SGA
KCH,20 - 24,114,805,53,331,201,686,122,253,0,0,13,20,8,4,0,0,511,2099,SGA
KCH,25 - 34,123,1398,66,423,269,1034,146,416,0,0,8,25,4,6,0,0,616,3302,SGA
KCH,>= 35,59,376,32,130,93,353,67,127,0,0,1,9,1,3,0,0,253,998,SGA
SMCH,< 16,4,41,10,35,9,19,5,16,0,0,0,0,1,1,0,0,29,112,SGA
SMCH,16 - 19,118,876,138,612,227,424,110,136,0,0,2,8,23,31,0,0,618,2087,SGA
SMCH,20 - 24,189,1936,163,1109,307,748,178,294,0,0,2,15,31,62,0,1,870,4165,SGA
SMCH,25 - 34,203,2803,164,1268,371,1002,213,461,0,0,7,33,46,72,0,1,1004,5640,SGA
SMCH,>= 35,76,1055,60,449,136,378,101,162,0,0,0,12,17,19,1,0,391,2075,SGA
