facility,mod_interval,ELBW_NND,ELBW_DC,VLBW_NND,VLBW_DC,LBW_NND,LBW_DC,NBW_NND,NBW_DC,HBW_NND,HBW_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,SVD,196,46,396,684,371,1766,375,2491,3,74,22,61,0,0,0,0,0,0,1363,5122,Birthweight
KCH,Vacuum Extraction,1,1,0,4,0,24,15,163,1,7,0,0,0,0,0,0,0,0,17,199,Birthweight
KCH,Forceps Extraction,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,Birthweight
KCH,ELCS,7,4,13,39,19,137,19,301,1,29,0,2,0,0,0,0,0,0,59,512,Birthweight
KCH,EMCS,76,27,151,326,113,949,122,1062,7,62,5,18,0,0,0,0,0,0,474,2444,Birthweight
KCH,Breech Extraction,12,3,38,61,28,97,7,44,0,0,2,2,0,0,0,0,0,0,87,207,Birthweight
KCH,Induced Vaginal,1,0,2,3,1,8,2,11,0,0,0,0,0,0,0,0,0,0,6,22,Birthweight
KCH,Missing,0,1,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,3,8,Birthweight
SMCH,SVD,423,45,613,441,776,2943,841,7527,15,529,8,52,0,0,0,0,0,0,2676,11537,Birthweight
SMCH,Vacuum Extraction,0,0,0,1,1,4,8,25,0,0,0,0,0,0,0,0,0,0,9,30,Birthweight
SMCH,Forceps Extraction,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,3,Birthweight
SMCH,ELCS,3,3,14,20,34,283,34,815,3,116,2,8,0,0,0,0,0,0,90,1245,Birthweight
SMCH,EMCS,71,10,185,160,193,1272,222,2563,5,209,4,17,0,0,0,0,0,0,680,4231,Birthweight
SMCH,Breech Extraction,4,2,11,10,15,50,12,74,1,2,0,0,0,0,0,0,0,0,43,138,Birthweight
SMCH,Induced Vaginal,6,1,6,11,10,48,21,230,1,13,0,0,0,0,0,0,0,0,44,303,Birthweight
SMCH,Missing,3,0,7,1,7,27,6,55,0,6,0,0,0,0,0,0,0,0,23,89,Birthweight
