facility,mod_interval,Term-AGA_NND,Term-AGA_DC,Term-SGA_NND,Term-SGA_DC,Preterm-AGA_NND,Preterm-AGA_DC,Preterm-SGA_NND,Preterm-SGA_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,SVD,291,2015,158,735,554,1655,323,645,0,0,22,61,15,11,0,0,1363,5122,SGA
KCH,Vacuum Extraction,12,149,3,28,1,17,1,5,0,0,0,0,0,0,0,0,17,199,SGA
KCH,Forceps Extraction,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,SGA
KCH,ELCS,16,266,7,66,22,115,14,62,0,0,0,2,0,1,0,0,59,512,SGA
KCH,EMCS,94,847,52,278,186,954,135,339,0,0,5,18,2,8,0,0,474,2444,SGA
KCH,Breech Extraction,7,29,4,44,40,85,33,47,0,0,2,2,1,0,0,0,87,207,SGA
KCH,Induced Vaginal,2,8,0,6,3,5,1,3,0,0,0,0,0,0,0,0,6,22,SGA
KCH,Missing,1,2,1,1,1,3,0,2,0,0,0,0,0,0,0,0,3,8,SGA
SMCH,SVD,522,5567,504,2878,1022,2109,503,796,0,0,7,51,117,135,1,1,2676,11537,SGA
SMCH,Vacuum Extraction,6,20,1,5,0,4,0,1,0,0,0,0,2,0,0,0,9,30,SGA
SMCH,Forceps Extraction,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,SGA
SMCH,ELCS,19,672,24,311,23,164,20,77,0,0,2,8,2,13,0,0,90,1245,SGA
SMCH,EMCS,140,1844,122,1046,193,812,206,452,0,0,4,16,15,60,0,1,680,4231,SGA
SMCH,Breech Extraction,8,56,8,40,17,27,8,15,0,0,0,0,2,0,0,0,43,138,SGA
SMCH,Induced Vaginal,13,162,6,82,14,32,8,17,0,0,0,0,3,10,0,0,44,303,SGA
SMCH,Missing,5,34,4,22,5,16,5,5,0,0,0,0,4,12,0,0,23,89,SGA
