facility,resus_category,Term-AGA_NND,Term-AGA_DC,Term-SGA_NND,Term-SGA_DC,Preterm-AGA_NND,Preterm-AGA_DC,Preterm-SGA_NND,Preterm-SGA_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,Cardiopulmonary Resuscitation,10,28,3,17,21,8,17,12,0,0,2,1,2,0,0,0,55,66,SGA
KCH,Bag Valve Mask,108,348,40,112,207,375,106,130,0,0,6,4,5,3,0,0,472,972,SGA
KCH,Stimulation/Oxygen,100,1329,68,433,354,1669,224,556,0,0,10,25,5,12,0,0,761,4024,SGA
KCH,None,44,474,22,184,53,261,38,100,0,0,1,10,0,2,0,0,158,1031,SGA
KCH,Unknown,161,1139,92,412,172,521,122,305,0,0,10,43,6,3,0,0,563,2423,SGA
SMCH,Cardiopulmonary Resuscitation,70,54,41,28,50,13,15,6,0,0,1,0,9,2,0,1,186,104,SGA
SMCH,Bag Valve Mask,219,632,124,342,190,183,109,45,0,0,4,3,28,21,0,0,674,1226,SGA
SMCH,Stimulation/Oxygen,231,2367,223,1441,472,927,281,403,0,0,4,23,78,68,0,1,1289,5230,SGA
SMCH,None,156,4730,235,2266,466,1774,274,793,0,0,2,47,25,122,1,0,1159,9732,SGA
SMCH,Unknown,38,573,46,308,96,267,71,117,0,0,2,2,5,17,0,0,258,1284,SGA
