facility,category,n,percentage,classification
KCH,ELBW,489,4.189872333133407,Birthweight
KCH,VLBW,1965,16.83660354725388,Birthweight
KCH,LBW,3917,33.5618198954674,Birthweight
KCH,NBW,5096,43.66378202381973,Birthweight
KCH,HBW,204,1.7479222003255932,Birthweight
SMCH,ELBW,674,2.8897273194992286,Birthweight
SMCH,VLBW,1650,7.074258274738467,Birthweight
SMCH,LBW,6268,26.873606585491338,Birthweight
SMCH,NBW,13750,58.95215228948722,Birthweight
SMCH,HBW,982,4.210255530783742,Birthweight
KCH,Term-AGA,778,24.056895485466914,SGA
KCH,Term-SGA,199,6.153370439084725,SGA
KCH,Preterm-AGA,1688,52.195423623995055,SGA
KCH,Preterm-SGA,569,17.59431045145331,SGA
SMCH,Term-AGA,2447,42.69760949223521,SGA
SMCH,Term-SGA,1422,24.81242366079218,SGA
SMCH,Preterm-AGA,1237,21.58436573023905,SGA
SMCH,Preterm-SGA,625,10.905601116733553,SGA
