gender,category,n,percentage,classification
F,ELBW,650,4.026263627353815,Birthweight
F,VLBW,1952,12.091179385530229,Birthweight
F,LBW,5144,31.86323092170466,Birthweight
F,NBW,7994,49.51684836471754,Birthweight
F,HBW,404,2.502477700693756,Birthweight
M,ELBW,512,2.726304579339723,Birthweight
M,VLBW,1660,8.839190628328009,Birthweight
M,LBW,5009,26.67199148029819,Birthweight
M,NBW,10818,57.6038338658147,Birthweight
M,HBW,781,4.158679446219383,Birthweight
NS,ELBW,1,1.4705882352941175,Birthweight
NS,VLBW,3,4.411764705882353,Birthweight
NS,LBW,30,44.11764705882353,Birthweight
NS,NBW,33,48.529411764705884,Birthweight
NS,HBW,1,1.4705882352941175,Birthweight
U,LBW,1,50,Birthweight
U,NBW,1,50,Birthweight
F,Term-AGA,1343,32.39266763145201,SGA
F,Term-SGA,707,17.05258080077183,SGA
F,Preterm-AGA,1521,36.68596237337192,SGA
F,Preterm-SGA,575,13.868789194404247,SGA
M,Term-AGA,1880,39.10149750415973,SGA
M,Term-SGA,911,18.94758735440932,SGA
M,Preterm-AGA,1400,29.11813643926789,SGA
M,Preterm-SGA,617,12.832778702163061,SGA
NS,Term-AGA,2,18.181818181818183,SGA
NS,Term-SGA,3,27.27272727272727,SGA
NS,Preterm-AGA,4,36.36363636363637,SGA
NS,Preterm-SGA,2,18.181818181818183,SGA
