outcome,category,n,percentage,classification
Alive,ELBW,143,0.5514422335338578,Birthweight
Alive,VLBW,1762,6.7946938145920095,Birthweight
Alive,LBW,7611,29.349838037945396,Birthweight
Alive,NBW,15369,59.266543267006014,Birthweight
Alive,HBW,1047,4.0374826469227205,Birthweight
Neonatal Death (in-facility),ELBW,803,14.528677401845485,Birthweight
Neonatal Death (in-facility),VLBW,1436,25.981545142030033,Birthweight
Neonatal Death (in-facility),LBW,1565,28.31554188529039,Birthweight
Neonatal Death (in-facility),NBW,1687,30.52288764248236,Birthweight
Neonatal Death (in-facility),HBW,36,0.651347928351728,Birthweight
Neonatal Death (pre-facility),LBW,3,60,Birthweight
Neonatal Death (pre-facility),NBW,1,20,Birthweight
Neonatal Death (pre-facility),HBW,1,20,Birthweight
Unknown/Other,ELBW,217,6.145567827810818,Birthweight
Unknown/Other,VLBW,417,11.809685641461343,Birthweight
Unknown/Other,LBW,1006,28.49051260266214,Birthweight
Unknown/Other,NBW,1789,50.66553384310394,Birthweight
Unknown/Other,HBW,102,2.888700084961767,Birthweight
Alive,Term-AGA,2742,40.24658740642889,SGA
Alive,Term-SGA,1308,19.19859092910612,SGA
Alive,Preterm-AGA,2039,29.928078673124908,SGA
Alive,Preterm-SGA,724,10.626742991340086,SGA
Neonatal Death (in-facility),Term-AGA,197,15.283165244375486,SGA
Neonatal Death (in-facility),Term-SGA,168,13.033359193173002,SGA
Neonatal Death (in-facility),Preterm-AGA,595,46.15981380915438,SGA
Neonatal Death (in-facility),Preterm-SGA,329,25.523661753297127,SGA
Neonatal Death (pre-facility),Term-AGA,1,50,SGA
Neonatal Death (pre-facility),Term-SGA,1,50,SGA
Unknown/Other,Term-AGA,285,33.10104529616725,SGA
Unknown/Other,Term-SGA,144,16.72473867595819,SGA
Unknown/Other,Preterm-AGA,291,33.79790940766551,SGA
Unknown/Other,Preterm-SGA,141,16.376306620209057,SGA
