facility,hiv_group,ELBW_NND,ELBW_DC,VLBW_NND,VLBW_DC,LBW_NND,LBW_DC,NBW_NND,NBW_DC,HBW_NND,HBW_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,HIV False (No Test),57,11,93,148,82,331,86,444,1,19,9,14,0,0,0,0,0,0,328,967,Birthweight
KCH,HIV True (Tested),148,35,288,476,239,1439,268,1878,6,89,16,38,0,0,0,0,0,0,965,3955,Birthweight
KCH,HIV True & Reactive,9,2,18,26,19,100,11,123,0,5,1,4,0,0,0,0,0,0,58,260,Birthweight
KCH,HIV True & Non-Reactive,139,33,269,449,218,1338,256,1753,6,84,15,34,0,0,0,0,0,0,903,3691,Birthweight
KCH,HIV True & Unknown,0,0,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,4,4,Birthweight
KCH,HIV test NA,88,36,219,493,211,1214,189,1756,5,64,4,31,0,0,0,0,0,0,716,3594,Birthweight
SMCH,HIV False (No Test),190,7,219,138,144,555,76,720,2,46,3,6,0,0,0,0,0,0,634,1472,Birthweight
SMCH,HIV True (Tested),306,53,611,497,872,3968,1053,10327,23,818,10,71,0,0,0,0,0,0,2875,15734,Birthweight
SMCH,HIV True & Reactive,25,4,72,52,82,451,90,945,3,58,2,6,0,0,0,0,0,0,274,1516,Birthweight
SMCH,HIV True & Non-Reactive,270,48,528,437,781,3482,955,9304,20,758,8,64,0,0,0,0,0,0,2562,14093,Birthweight
SMCH,HIV True & Unknown,11,1,11,8,9,35,8,78,0,2,0,1,0,0,0,0,0,0,39,125,Birthweight
SMCH,HIV test NA,14,1,6,10,20,104,16,244,0,11,1,0,0,0,0,0,0,0,57,370,Birthweight
