facility,year,category,explanation,n,percentage,classification
KCH,2022,ELBW,Included in analysis,62,2.361005331302361,Birthweight
KCH,2022,VLBW,Included in analysis,251,9.558263518659558,Birthweight
KCH,2022,LBW,Included in analysis,664,25.285605483625282,Birthweight
KCH,2022,NBW,Included in analysis,1149,43.754760091393756,Birthweight
KCH,2022,HBW,Included in analysis,44,1.6755521706016754,Birthweight
KCH,2022,Discarded,Missing or invalid birth weight,456,17.364813404417365,Birthweight
KCH,2022,Total,All deliveries considered,2626,100,Birthweight
KCH,2023,ELBW,Included in analysis,65,2.529182879377432,Birthweight
KCH,2023,VLBW,Included in analysis,223,8.67704280155642,Birthweight
KCH,2023,LBW,Included in analysis,601,23.3852140077821,Birthweight
KCH,2023,NBW,Included in analysis,1159,45.09727626459144,Birthweight
KCH,2023,HBW,Included in analysis,56,2.178988326848249,Birthweight
KCH,2023,Discarded,Missing or invalid birth weight,466,18.132295719844358,Birthweight
KCH,2023,Total,All deliveries considered,2570,100,Birthweight
KCH,2024,ELBW,Included in analysis,37,1.7257462686567164,Birthweight
KCH,2024,VLBW,Included in analysis,130,6.063432835820896,Birthweight
KCH,2024,LBW,Included in analysis,412,19.21641791044776,Birthweight
KCH,2024,NBW,Included in analysis,865,40.34514925373134,Birthweight
KCH,2024,HBW,Included in analysis,35,1.632462686567164,Birthweight
KCH,2024,Discarded,Missing or invalid birth weight,665,31.01679104477612,Birthweight
KCH,2024,Total,All deliveries considered,2144,100,Birthweight
KCH,2025,ELBW,Included in analysis,2,0.08488964346349745,Birthweight
KCH,2025,VLBW,Included in analysis,3,0.1273344651952462,Birthweight
KCH,2025,LBW,Included in analysis,4,0.1697792869269949,Birthweight
KCH,2025,NBW,Included in analysis,6,0.2546689303904924,Birthweight
KCH,2025,Discarded,Missing or invalid birth weight,2341,99.36332767402376,Birthweight
KCH,2025,Total,All deliveries considered,2356,100,Birthweight
SMCH,2022,ELBW,Included in analysis,468,2.8062601187263896,Birthweight
SMCH,2022,VLBW,Included in analysis,413,2.4764645919529893,Birthweight
SMCH,2022,LBW,Included in analysis,2827,16.951490076152787,Birthweight
SMCH,2022,NBW,Included in analysis,12646,75.82898602866223,Birthweight
SMCH,2022,HBW,Included in analysis,280,1.678959045391857,Birthweight
SMCH,2022,Discarded,Missing or invalid birth weight,43,0.2578401391137495,Birthweight
SMCH,2022,Total,All deliveries considered,16677,100,Birthweight
SMCH,2023,ELBW,Included in analysis,359,2.340134280685744,Birthweight
SMCH,2023,VLBW,Included in analysis,345,2.2488755622188905,Birthweight
SMCH,2023,LBW,Included in analysis,1850,12.059187797405645,Birthweight
SMCH,2023,NBW,Included in analysis,12452,81.16811159637572,Birthweight
SMCH,2023,HBW,Included in analysis,301,1.9620624470373507,Birthweight
SMCH,2023,Discarded,Missing or invalid birth weight,34,0.2216283162766443,Birthweight
SMCH,2023,Total,All deliveries considered,15341,100,Birthweight
SMCH,2024,ELBW,Included in analysis,298,2.376395534290271,Birthweight
SMCH,2024,VLBW,Included in analysis,227,1.8102073365231262,Birthweight
