facility,sb_timing,category,explanation,n,percentage,classification
KCH,Early stillbirth (22-27+6w),ELBW,Included in analysis,19,47.5,Birthweight
KCH,Early stillbirth (22-27+6w),VLBW,Included in analysis,12,30,Birthweight
KCH,Early stillbirth (22-27+6w),Discarded,Missing or invalid birth weight,9,22.5,Birthweight
KCH,Early stillbirth (22-27+6w),Total,All deliveries considered,40,100,Birthweight
KCH,Late stillbirth (>=28w),ELBW,Included in analysis,21,4.740406320541761,Birthweight
KCH,Late stillbirth (>=28w),VLBW,Included in analysis,69,15.575620767494355,Birthweight
KCH,Late stillbirth (>=28w),LBW,Included in analysis,114,25.733634311512414,Birthweight
KCH,Late stillbirth (>=28w),NBW,Included in analysis,88,19.864559819413092,Birthweight
KCH,Late stillbirth (>=28w),HBW,Included in analysis,2,0.4514672686230248,Birthweight
KCH,Late stillbirth (>=28w),Discarded,Missing or invalid birth weight,149,33.63431151241535,Birthweight
KCH,Late stillbirth (>=28w),Total,All deliveries considered,443,100,Birthweight
SMCH,Early stillbirth (22-27+6w),ELBW,Included in analysis,509,77.82874617737004,Birthweight
SMCH,Early stillbirth (22-27+6w),VLBW,Included in analysis,80,12.232415902140673,Birthweight
SMCH,Early stillbirth (22-27+6w),LBW,Included in analysis,16,2.4464831804281344,Birthweight
SMCH,Early stillbirth (22-27+6w),HBW,Included in analysis,1,0.1529051987767584,Birthweight
SMCH,Early stillbirth (22-27+6w),Discarded,Missing or invalid birth weight,48,7.339449541284404,Birthweight
SMCH,Early stillbirth (22-27+6w),Total,All deliveries considered,654,100,Birthweight
SMCH,Late stillbirth (>=28w),ELBW,Included in analysis,243,8.660014255167498,Birthweight
SMCH,Late stillbirth (>=28w),VLBW,Included in analysis,369,13.150392017106203,Birthweight
SMCH,Late stillbirth (>=28w),LBW,Included in analysis,863,30.75552387740556,Birthweight
SMCH,Late stillbirth (>=28w),NBW,Included in analysis,1275,45.438346400570204,Birthweight
SMCH,Late stillbirth (>=28w),HBW,Included in analysis,45,1.6037063435495367,Birthweight
SMCH,Late stillbirth (>=28w),Discarded,Missing or invalid birth weight,11,0.3920171062009979,Birthweight
SMCH,Late stillbirth (>=28w),Total,All deliveries considered,2806,100,Birthweight
KCH,Early stillbirth (22-27+6w),Preterm-AGA,Included in analysis,23,57.49999999999999,SGA
KCH,Early stillbirth (22-27+6w),Preterm-SGA,Included in analysis,8,20,SGA
KCH,Early stillbirth (22-27+6w),Missing BW,Missing BW,9,22.5,SGA
KCH,Early stillbirth (22-27+6w),Total,All deliveries considered,40,100,SGA
KCH,Late stillbirth (>=28w),Term-AGA,Included in analysis,50,11.286681715575622,SGA
KCH,Late stillbirth (>=28w),Term-SGA,Included in analysis,27,6.094808126410835,SGA
KCH,Late stillbirth (>=28w),Preterm-AGA,Included in analysis,153,34.537246049661405,SGA
KCH,Late stillbirth (>=28w),Preterm-SGA,Included in analysis,62,13.99548532731377,SGA
KCH,Late stillbirth (>=28w),Missing BW,Missing BW,148,33.40857787810384,SGA
KCH,Late stillbirth (>=28w),Missing GA,Missing GA,2,0.4514672686230248,SGA
KCH,Late stillbirth (>=28w),Missing both BW and GA,Missing both BW and GA,1,0.2257336343115124,SGA
KCH,Late stillbirth (>=28w),Total,All deliveries considered,443,100,SGA
SMCH,Early stillbirth (22-27+6w),Preterm-AGA,Included in analysis,329,50.30581039755352,SGA
SMCH,Early stillbirth (22-27+6w),Preterm-SGA,Included in analysis,277,42.354740061162076,SGA
SMCH,Early stillbirth (22-27+6w),Missing BW,Missing BW,48,7.339449541284404,SGA
SMCH,Early stillbirth (22-27+6w),Total,All deliveries considered,654,100,SGA
SMCH,Late stillbirth (>=28w),Term-AGA,Included in analysis,764,27.227369921596576,SGA
SMCH,Late stillbirth (>=28w),Term-SGA,Included in analysis,541,19.280114041339985,SGA
SMCH,Late stillbirth (>=28w),Preterm-AGA,Included in analysis,852,30.363506771204563,SGA
SMCH,Late stillbirth (>=28w),Preterm-SGA,Included in analysis,617,21.988595866001425,SGA
SMCH,Late stillbirth (>=28w),Missing BW,Missing BW,11,0.3920171062009979,SGA
SMCH,Late stillbirth (>=28w),Missing GA,Missing GA,21,0.7483962936564506,SGA
SMCH,Late stillbirth (>=28w),Total,All deliveries considered,2806,100,SGA
