scope,sb_scope,comparison,category,reference,n_total,n_outcome,OR,CI_lower,CI_upper,p_value,significant
Global,All stillbirths,LBW category vs NBW,ELBW,NBW,72714,3726,53.521,47.535,60.26,0,Yes
Global,All stillbirths,LBW category vs NBW,HBW,NBW,72714,3726,1.504,1.122,2.016,0.0063,Yes
Global,All stillbirths,LBW category vs NBW,LBW,NBW,72714,3726,4.211,3.87,4.583,0,Yes
Global,All stillbirths,LBW category vs NBW,VLBW,NBW,72714,3726,14.581,13.026,16.321,0,Yes
Global,All stillbirths,SGA category vs Term-AGA,Preterm-AGA,Term-AGA,70863,3703,7.528,6.88,8.236,0,Yes
Global,All stillbirths,SGA category vs Term-AGA,Preterm-SGA,Term-AGA,70863,3703,20.578,18.573,22.8,0,Yes
Global,All stillbirths,SGA category vs Term-AGA,Term-SGA,Term-AGA,70863,3703,1.577,1.414,1.757,0,Yes
Global,All stillbirths,Preterm vs Term,Preterm,Term,73690,3919,8.533,7.972,9.134,0,Yes
KCH,All stillbirths,LBW category vs NBW,ELBW,NBW,5678,325,12.403,8.16,18.85,0,Yes
KCH,All stillbirths,LBW category vs NBW,HBW,NBW,5678,325,0.53,0.129,2.176,0.3784,No
KCH,All stillbirths,LBW category vs NBW,LBW,NBW,5678,325,2.564,1.929,3.409,0,Yes
KCH,All stillbirths,LBW category vs NBW,VLBW,NBW,5678,325,5.516,4.021,7.565,0,Yes
KCH,All stillbirths,SGA category vs Term-AGA,Preterm-AGA,Term-AGA,4831,323,3.934,2.854,5.422,0,Yes
KCH,All stillbirths,SGA category vs Term-AGA,Preterm-SGA,Term-AGA,4831,323,7.221,4.94,10.557,0,Yes
KCH,All stillbirths,SGA category vs Term-AGA,Term-SGA,Term-AGA,4831,323,1.845,1.145,2.975,0.0119,Yes
KCH,All stillbirths,Preterm vs Term,Preterm,Term,7508,480,4.132,3.327,5.132,0,Yes
