category,explanation,n_total_births,n_ennd,pct_ennd_of_births,classification
ELBW,Included in analysis,1623,57,3.51,Birthweight
VLBW,Included in analysis,1459,11,0.75,Birthweight
LBW,Included in analysis,9064,51,0.56,Birthweight
NBW,Included in analysis,54373,243,0.45,Birthweight
HBW,Included in analysis,1230,6,0.49,Birthweight
Discarded,Missing or invalid birth weight,221,2,0.9,Birthweight
Total,All deliveries considered,67970,370,0.54,Birthweight
Term-AGA,Included in analysis,38048,167,0.44,SGA
Term-SGA,Included in analysis,17348,95,0.55,SGA
Preterm-AGA,Included in analysis,8259,52,0.63,SGA
Preterm-SGA,Included in analysis,2881,43,1.49,SGA
Missing BW,Missing BW,169,1,0.59,SGA
Missing GA,Missing GA,1213,11,0.91,SGA
Missing both BW and GA,Missing both BW and GA,52,1,1.92,SGA
Total,All deliveries considered,67970,370,0.54,SGA
