category,explanation,n,mean_age,median_age,sd_age,min_age,max_age,classification
ELBW,Included in analysis,59,25,24,6.5,14,41,Birthweight
VLBW,Included in analysis,137,26.2,26,6.6,14,44,Birthweight
LBW,Included in analysis,1063,26.1,25,7.2,14,45,Birthweight
NBW,Included in analysis,7899,25.9,25,6.6,13,47,Birthweight
HBW,Included in analysis,201,29.2,29,6.3,16,43,Birthweight
Discarded,Missing or invalid birth weight,1872,27.7,28,6.1,12,45,Birthweight
Total,All deliveries considered,11231,26.3,25,6.6,12,47,Birthweight
Term-AGA,Included in analysis,5663,26.2,25,6.6,14,47,SGA
Term-SGA,Included in analysis,2395,25.4,24,6.6,13,46,SGA
Preterm-AGA,Included in analysis,927,25.7,24,7.1,14,45,SGA
Preterm-SGA,Included in analysis,228,27,26.5,7.1,15,45,SGA
Missing BW,Missing BW,1841,27.7,28,6.1,12,44,SGA
Missing GA,Missing GA,146,26.1,25,6.9,16,45,SGA
Missing both BW and GA,Missing both BW and GA,31,28,28,6.7,18,45,SGA
Total,All deliveries considered,11231,26.3,25,6.6,12,47,SGA
